model	seq	mode	candidate	field	expected	actual	status
gqa2	4	0	legacy_grid_stride	max_queue	30	30	MATCH
gqa2	4	0	legacy_grid_stride	same_worker_edges	184	184	MATCH
gqa2	4	0	legacy_grid_stride	cross_worker_edges	1108	1108	MATCH
gqa2	4	5	rotate	max_queue	1	1	MATCH
gqa2	4	5	rotate	same_worker_edges	0	0	MATCH
gqa2	4	5	rotate	cross_worker_edges	1292	1292	MATCH
gqa2	4	4	balanced	max_queue	30	30	MATCH
gqa2	4	4	balanced	same_worker_edges	442	442	MATCH
gqa2	4	4	balanced	cross_worker_edges	850	850	MATCH
gqa2	128	0	legacy_grid_stride	max_queue	34	34	MATCH
gqa2	128	0	legacy_grid_stride	same_worker_edges	3736	3736	MATCH
gqa2	128	0	legacy_grid_stride	cross_worker_edges	545140	545140	MATCH
gqa2	128	5	rotate	max_queue	18	18	MATCH
gqa2	128	5	rotate	same_worker_edges	3624	3624	MATCH
gqa2	128	5	rotate	cross_worker_edges	545252	545252	MATCH
gqa2	128	4	balanced	max_queue	34	34	MATCH
gqa2	128	4	balanced	same_worker_edges	5274	5274	MATCH
gqa2	128	4	balanced	cross_worker_edges	543602	543602	MATCH
gqa2	512	0	legacy_grid_stride	max_queue	82	82	MATCH
gqa2	512	0	legacy_grid_stride	same_worker_edges	39608	39608	MATCH
gqa2	512	0	legacy_grid_stride	cross_worker_edges	8521080	8521080	MATCH
gqa2	512	5	rotate	max_queue	69	69	MATCH
gqa2	512	5	rotate	same_worker_edges	39560	39560	MATCH
gqa2	512	5	rotate	cross_worker_edges	8521128	8521128	MATCH
gqa2	512	4	balanced	max_queue	82	82	MATCH
gqa2	512	4	balanced	same_worker_edges	56752	56752	MATCH
gqa2	512	4	balanced	cross_worker_edges	8503936	8503936	MATCH
mha4	4	0	legacy_grid_stride	max_queue	60	60	MATCH
mha4	4	0	legacy_grid_stride	same_worker_edges	504	504	MATCH
mha4	4	0	legacy_grid_stride	cross_worker_edges	3604	3604	MATCH
mha4	4	5	rotate	max_queue	2	2	MATCH
mha4	4	5	rotate	same_worker_edges	0	0	MATCH
mha4	4	5	rotate	cross_worker_edges	4108	4108	MATCH
mha4	4	4	balanced	max_queue	60	60	MATCH
mha4	4	4	balanced	same_worker_edges	1112	1112	MATCH
mha4	4	4	balanced	cross_worker_edges	2996	2996	MATCH
mha4	128	0	legacy_grid_stride	max_queue	80	80	MATCH
mha4	128	0	legacy_grid_stride	same_worker_edges	12664	12664	MATCH
mha4	128	0	legacy_grid_stride	cross_worker_edges	2149540	2149540	MATCH
mha4	128	5	rotate	max_queue	47	47	MATCH
mha4	128	5	rotate	same_worker_edges	12416	12416	MATCH
mha4	128	5	rotate	cross_worker_edges	2149788	2149788	MATCH
mha4	128	4	balanced	max_queue	80	80	MATCH
mha4	128	4	balanced	same_worker_edges	20528	20528	MATCH
mha4	128	4	balanced	cross_worker_edges	2141676	2141676	MATCH
mha4	512	0	legacy_grid_stride	max_queue	212	212	MATCH
mha4	512	0	legacy_grid_stride	same_worker_edges	149672	149672	MATCH
mha4	512	0	legacy_grid_stride	cross_worker_edges	33959880	33959880	MATCH
mha4	512	5	rotate	max_queue	187	187	MATCH
mha4	512	5	rotate	same_worker_edges	149560	149560	MATCH
mha4	512	5	rotate	cross_worker_edges	33959992	33959992	MATCH
mha4	512	4	balanced	max_queue	212	212	MATCH
mha4	512	4	balanced	same_worker_edges	401032	401032	MATCH
mha4	512	4	balanced	cross_worker_edges	33708520	33708520	MATCH
real	4	0	legacy_grid_stride	max_queue	60	60	MATCH
real	4	0	legacy_grid_stride	same_worker_edges	1596	1596	MATCH
real	4	0	legacy_grid_stride	cross_worker_edges	76196	76196	MATCH
real	4	5	rotate	max_queue	11	11	MATCH
real	4	5	rotate	same_worker_edges	0	0	MATCH
real	4	5	rotate	cross_worker_edges	77792	77792	MATCH
real	128	0	legacy_grid_stride	max_queue	216	216	MATCH
real	128	0	legacy_grid_stride	same_worker_edges	158464	158464	MATCH
real	128	0	legacy_grid_stride	cross_worker_edges	34829792	34829792	MATCH
real	128	5	rotate	max_queue	188	188	MATCH
real	128	5	rotate	same_worker_edges	156800	156800	MATCH
real	128	5	rotate	cross_worker_edges	34831456	34831456	MATCH
