slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794425031439360	1105038773860	1789794425031440384	1105038775107	1789794425031440384	1105038775107	1789794425031441408	1105038778417	1789794425031442432	1105038780255	1789794425031442432	1105038780375	0	0	0	0	91	8
1	0	32	16	16	1	1536	1789794425031443456	1105038785225	1789794425031444480	1105038787586	1789794425031445504	1105038788183	1789794425031455744	1105038814010	1789794425031456768	1105038816248	1789794425031456768	1105038816469	1105038788336	1105038813895	13611	32	0	0
2	2	0	0	0	1	0	1789794425031459840	1105038823240	1789794425031459840	1105038824673	1789794425031459840	1105038824673	1789794425031460864	1105038826723	1789794425031460864	1105038826766	1789794425031460864	1105038826884	0	0	0	0	0	0
3	2	0	0	0	1	0	1789794425031463936	1105038834058	1789794425031463936	1105038835689	1789794425031463936	1105038835689	1789794425031464960	1105038837691	1789794425031464960	1105038837721	1789794425031464960	1105038837904	0	0	0	0	0	0
4	3	0	0	0	1	0	1789794425031468032	1105038844771	1789794425031468032	1105038845983	1789794425031468032	1105038845983	1789794425031469056	1105038847275	1789794425031469056	1105038847305	1789794425031469056	1105038847430	0	0	0	0	0	0
5	5	0	0	0	1	0	1789794425031472128	1105038856267	1789794425031473152	1105038858258	1789794425031473152	1105038858258	1789794425031499776	1105038923487	1789794425031499776	1105038923523	1789794425031499776	1105038923639	0	0	0	0	58	2
6	0	32	16	16	1	1536	1789794425031504896	1105038937227	1789794425031505920	1105038939514	1789794425031505920	1105038940128	1789794425031516160	1105038964604	1789794425031517184	1105038968565	1789794425031517184	1105038968681	1105038940341	1105038964511	10096	32	0	0
7	1	0	0	0	1	0	1789794425031519232	1105038974548	1789794425031520256	1105038975979	1789794425031520256	1105038975979	1789794425031521280	1105038980047	1789794425031522304	1105038981233	1789794425031522304	1105038981358	0	0	0	0	98	8
8	0	32	16	16	1	1536	1789794425031524352	1105038986933	1789794425031525376	1105038989374	1789794425031525376	1105038990046	1789794425031534592	1105039012773	1789794425031535616	1105039015477	1789794425031535616	1105039015596	1105038990070	1105039012669	12914	32	0	0
9	4	0	0	0	1	0	1789794425031541760	1105039030194	1789794425031541760	1105039031362	1789794425031541760	1105039031362	1789794425031544832	1105039038001	1789794425031544832	1105039038037	1789794425031544832	1105039038155	0	0	0	0	0	0
