space	tasks	nominal_read_bytes	nominal_write_bytes	physical_read_bytes	physical_write_bytes	no_producer_read_bytes	produced_read_bytes	external_write_bytes
l0.s00.embed	4	16416	16384	16416	16384	16416	0	0
l0.s01.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s02.proj	512	25165824	1048576	10485760	131072	8388608	2097152	0
l0.s02.proj.combine	128	131072	16384	131072	16384	0	131072	0
l0.s03.qknorm	64	278528	16384	278528	16384	16384	262144	0
l0.s04.proj	256	12582912	524288	5242880	65536	4194304	1048576	0
l0.s04.proj.combine	64	65536	8192	65536	8192	0	65536	0
l0.s05.qknorm	32	73728	8192	73728	8192	8192	65536	0
l0.s06.proj	256	12582912	524288	5242880	65536	4194304	1048576	0
l0.s06.proj.combine	64	65536	8192	65536	8192	0	65536	0
l0.s07.rope	64	24576	16384	24576	16384	8192	16384	0
l0.s08.rope	32	12288	8192	12288	8192	4096	8192	0
l0.s09.append	32	8192	8192	8192	8192	0	8192	8192
l0.s10.append	32	8192	8192	8192	8192	0	8192	8192
l0.s11.attn	64	221184	16384	221184	16384	98304	122880	0
l0.s12.proj	512	25165824	1048576	10485760	131072	8388608	2097152	0
l0.s12.proj.combine	128	147456	16384	147456	16384	0	147456	0
l0.s13.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s14.proj	1536	75497472	3145728	31457280	393216	25165824	6291456	0
l0.s14.proj.combine	384	393216	49152	393216	49152	0	393216	0
l0.s15.proj	1536	75497472	3145728	31457280	393216	25165824	6291456	0
l0.s15.proj.combine	384	393216	49152	393216	49152	0	393216	0
l0.s16.act	4	98304	49152	98304	49152	0	98304	0
l0.s17.proj	512	75497472	1048576	31457280	131072	25165824	6291456	0
l0.s17.proj.combine	128	147456	16384	147456	16384	0	147456	0
l0.s18.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s19.proj	512	25165824	1048576	10485760	131072	8388608	2097152	0
l0.s19.proj.combine	128	131072	16384	131072	16384	0	131072	0
l0.s20.qknorm	64	278528	16384	278528	16384	16384	262144	0
l0.s21.proj	256	12582912	524288	5242880	65536	4194304	1048576	0
l0.s21.proj.combine	64	65536	8192	65536	8192	0	65536	0
l0.s22.qknorm	32	73728	8192	73728	8192	8192	65536	0
l0.s23.proj	256	12582912	524288	5242880	65536	4194304	1048576	0
l0.s23.proj.combine	64	65536	8192	65536	8192	0	65536	0
l0.s24.rope	64	24576	16384	24576	16384	8192	16384	0
l0.s25.rope	32	12288	8192	12288	8192	4096	8192	0
l0.s26.append	32	8192	8192	8192	8192	0	8192	8192
l0.s27.append	32	8192	8192	8192	8192	0	8192	8192
l0.s28.attn	64	221184	16384	221184	16384	98304	122880	0
l0.s29.proj	512	25165824	1048576	10485760	131072	8388608	2097152	0
l0.s29.proj.combine	128	147456	16384	147456	16384	0	147456	0
l0.s30.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s31.proj	1536	75497472	3145728	31457280	393216	25165824	6291456	0
l0.s31.proj.combine	384	393216	49152	393216	49152	0	393216	0
l0.s32.proj	1536	75497472	3145728	31457280	393216	25165824	6291456	0
l0.s32.proj.combine	384	393216	49152	393216	49152	0	393216	0
l0.s33.act	4	98304	49152	98304	49152	0	98304	0
l0.s34.proj	512	75497472	1048576	31457280	131072	25165824	6291456	0
l0.s34.proj.combine	128	147456	16384	147456	16384	0	147456	0
l0.s35.norm	4	32768	16384	32768	16384	16384	16384	0
l0.s36.proj	512	25165824	1048576	10485760	131072	8388608	2097152	0
l0.s36.proj.combine	128	131072	16384	131072	16384	0	131072	0
l0.s37.qknorm	64	278528	16384	278528	16384	16384	262144	0
l0.s38.proj	256	12582912	524288	5242880	65536	4194304	1048576	0
l0.s38.proj.combine	64	65536	8192	65536	8192	0	65536	0
l0.s39.qknorm	32	73728	8192	73728	8192	8192	65536	0
l0.s40.proj	256	12582912	524288	5242880	65536	4194304	1048576	0
l0.s40.proj.combine	64	65536	8192	65536	8192	0	65536	0
l0.s41.rope	64	24576	16384	24576	16384	8192	16384	0
l0.s42.rope	32	12288	8192	12288	8192	4096	8192	0
