slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
0	0	0	1	1	0	0	0	1	0	1024	0	5120	4096	4096	0	10240	2384	0	11705	12487	12300	187	26576
1	6	12	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1369	0	963	217	30	187	2549
2	11	72	0	0	128	128	16	1	8192	1024	4096	234496	2048	2048	0	241664	2980	8172	601956	5263	4813	450	618371
3	20	16	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1571	0	2406	221	30	191	4198
4	23	48	5	0	0	0	0	1	0	1024	0	4096	0	0	0	5120	2101	0	10955	217	30	187	13273
5	27	28	0	0	128	128	16	1	8192	1024	4096	234496	2048	2048	0	241664	3002	9812	599841	4302	3808	494	616957
6	34	52	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1637	0	1276	217	30	187	3130
7	38	116	5	0	0	0	0	1	0	1024	0	4096	0	0	0	5120	2090	0	9333	217	30	187	11640
8	42	96	0	0	128	128	16	1	8192	1024	3072	223232	2048	1024	1024	229376	2770	7366	569862	5291	4835	456	585289
9	49	120	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1863	0	2095	215	30	185	4173
10	56	20	0	0	128	128	16	1	8192	1024	3072	231424	2048	2048	0	237568	2930	7468	592406	4670	4177	493	607474
11	0	1	1	0	0	0	0	1	0	1024	0	4096	5120	5120	0	10240	2349	0	11618	12566	12379	187	26533
12	6	13	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1354	0	933	217	30	187	2504
13	11	73	0	0	128	128	16	1	8192	1024	4096	232448	2048	1024	1024	239616	3126	9278	594574	5149	4697	452	612127
14	20	17	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1688	0	2280	218	30	188	4186
15	23	49	5	0	0	0	0	1	0	1024	0	4096	0	0	0	5120	2183	0	10882	217	30	187	13282
16	27	29	0	0	128	128	16	1	8192	1024	5120	231424	1024	1024	0	238592	3048	10675	593189	4228	3793	435	611140
17	34	53	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1279	0	1531	217	30	187	3027
18	38	117	5	0	0	0	0	1	0	1024	0	4096	0	0	0	5120	2102	0	9704	217	30	187	12023
19	42	97	0	0	128	128	16	1	8192	1024	3072	228352	1024	1024	0	233472	2717	6813	583839	4718	4107	611	598087
20	49	121	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1754	0	2270	217	30	187	4241
21	56	21	0	0	128	128	16	1	8192	1024	4096	230400	2048	2048	0	237568	3047	8418	591202	5170	4725	445	607837
22	0	2	1	0	0	0	0	1	0	1024	0	4096	5120	5120	0	10240	2425	0	11329	12067	11879	188	25821
23	6	14	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1673	0	675	218	30	188	2566
24	11	74	0	0	128	128	16	1	8192	1024	4096	237568	1024	1024	0	243712	2950	10029	606930	4295	3827	468	624204
25	20	18	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1721	0	2249	215	30	185	4185
