model	seq	n	l1	l2	gap	wait	notify	barrier	loop	closure_error_us
gqa2	4	25	0.372736	0.412672	0.035648	0.029760	0.058112	0.039456	-0.011104	0.000000
gqa2	128	25	0.524288	0.573440	0.049440	0.031744	0.067584	0.039936	-0.009248	0.000000
mha4	4	25	0.739360	0.802816	0.066496	0.053248	0.102400	0.073952	-0.015360	0.000000
mha4	128	25	1.140576	1.259520	0.119616	0.053312	0.171008	0.076960	-0.026368	0.000000

model	seq	n	component	median_ms	ci95_low	ci95_high	p_vs_zero
gqa2	4	25	gap	0.035648	0.033696	0.038784	1.307e-05
gqa2	4	25	wait	0.029760	0.026816	0.030720	1.475e-05
gqa2	4	25	notify	0.058112	0.055296	0.060096	1.302e-05
gqa2	4	25	barrier	0.039456	0.037120	0.042016	1.307e-05
gqa2	4	25	loop	-0.011104	-0.013056	-0.009504	3.274e-04
gqa2	128	25	gap	0.049440	0.048128	0.051200	1.304e-05
gqa2	128	25	wait	0.031744	0.029696	0.032800	1.304e-05
gqa2	128	25	notify	0.067584	0.064512	0.069696	1.306e-05
gqa2	128	25	barrier	0.039936	0.036544	0.046080	1.478e-05
gqa2	128	25	loop	-0.009248	-0.012288	-0.007168	1.738e-04
mha4	4	25	gap	0.066496	0.064512	0.072704	1.306e-05
mha4	4	25	wait	0.053248	0.051200	0.055296	1.472e-05
mha4	4	25	notify	0.102400	0.100352	0.110816	1.305e-05
mha4	4	25	barrier	0.073952	0.071584	0.075904	1.306e-05
mha4	4	25	loop	-0.015360	-0.018432	-0.012512	2.361e-03
mha4	128	25	gap	0.119616	0.117664	0.122720	1.307e-05
mha4	128	25	wait	0.053312	0.049152	0.054272	1.301e-05
mha4	128	25	notify	0.171008	0.167936	0.173056	1.296e-05
mha4	128	25	barrier	0.076960	0.073728	0.078176	1.306e-05
mha4	128	25	loop	-0.026368	-0.028672	-0.023488	1.306e-05
