key	value
model	mha4
fixture	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s128_p3
seq	128
past	3
grid	512
kappa	4
placement	0
schedule_policy	critical_path
stage_count	88
slot_count	34816
event_count	6864
l2_ms	0.652288
l1_ms	0.650240
traced_launch	l2_forward_last_timed_sample
benchmark_warmup	5
benchmark_repeat	11
globaltimer_resolution_ns	1024
commit	unset
