model	model_rank	tile_m	tile_n	tile_k	stages	split_k	measured_rank	measured_ms	predicted_ms	predicted_over_measured
gqa2	1	32	128	32	3	16	224	0.239616	0.0860238	0.359007
gqa2	2	128	32	32	2	8	46	0.199680	0.0885125	0.443272
gqa2	3	32	16	16	2	1	232	0.241664	0.0894648	0.370203
gqa2	4	32	128	32	4	16	121	0.215040	0.0896135	0.416729
gqa2	5	64	64	32	5	16	111	0.212992	0.0896135	0.420736
gqa2	6	32	16	16	3	1	96	0.209920	0.0900032	0.428750
gqa2	7	32	128	32	3	8	102	0.210944	0.0900510	0.426895
gqa2	8	32	16	16	4	1	58	0.202752	0.0905417	0.446564
gqa2	9	32	16	32	2	1	187	0.230400	0.0905417	0.392976
gqa2	10	32	16	16	5	1	52	0.201728	0.0910801	0.451500
mha4	1	128	32	32	2	8	30	0.392352	0.177057	0.451271
mha4	2	32	16	16	2	1	145	0.475136	0.178930	0.376587
mha4	3	32	16	16	3	1	62	0.411648	0.180006	0.437281
mha4	4	32	128	32	3	8	105	0.439456	0.180134	0.409902
mha4	5	32	16	16	4	1	33	0.394240	0.181083	0.459322
mha4	6	32	16	32	2	1	117	0.450560	0.181083	0.401907
mha4	7	32	16	16	5	1	31	0.394112	0.182160	0.462204
mha4	8	32	16	32	3	1	111	0.444416	0.183237	0.412310
mha4	9	128	16	32	4	4	29	0.391264	0.183889	0.469987
mha4	10	64	64	32	5	8	64	0.412896	0.184032	0.445710
