tile_m	tile_n	tile_k	stages	a_ns	c_ns_per_iter	fit_r2	ac_r2
128	128	16	3	2321.8389	539.9931	0.921876	0.999404
64	64	16	3	-119.1724	173.8756	0.921876	0.994480
32	32	32	3	-438.6208	184.6799	0.921876	0.995911
32	64	32	3	20.0457	288.6589	0.921876	0.995795
32	64	16	2	-400.7357	230.4657	0.921876	0.997563
256	128	16	3	10342.0679	1598.1537	0.921876	0.999967
