slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kind_name	simt_barriers	seg_setup	seg_wait	seg_compute	seg_epilogue
0	0	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1312	0	2817	1849	1719	130	5978	rmsnorm	8	1312	89	2728	1849
1	2	0	0	1	32	16	64	1	6144	1024	1024	4096	0	0	0	6144	2135	1117	9629	1342	1212	130	14223	gemm	0	2135	2711	8035	1342
2	5	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1238	0	1523	159	30	129	2920	rope	0	1238	0	1523	159
3	6	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1119	0	910	160	30	130	2189	kvappend	0	1119	0	910	160
4	8	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1634	0	8438	160	30	130	10232	attention	2	1634	52	8386	160
5	9	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2154	1109	9367	2284	2155	129	14914	gemm	0	2154	2985	7491	2284
6	10	0	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1242	0	2914	1840	1709	131	5996	rmsnorm	8	1242	89	2825	1840
7	11	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2171	1110	9286	1106	976	130	13673	gemm	0	2171	2884	7512	1106
8	13	0	4	1	0	0	0	1	0	0	0	3072	0	0	0	3072	1277	0	6388	160	30	130	7825	elementwise	0	1277	0	6388	160
9	14	0	0	1	32	16	64	1	6144	1024	1024	7168	1024	1024	0	10240	2166	1100	18348	2354	2225	129	23968	gemm	0	2166	4407	15041	2354
10	15	0	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1249	0	2906	1835	1704	131	5990	rmsnorm	8	1249	89	2817	1835
11	17	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2160	1101	9278	1780	1518	262	14319	gemm	0	2160	2660	7719	1780
12	20	0	2	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1234	0	1521	159	30	129	2914	rope	0	1234	0	1521	159
13	21	0	3	1	0	0	0	1	0	0	0	1024	0	0	0	1024	1136	0	921	159	30	129	2216	kvappend	0	1136	0	921	159
14	23	0	5	1	0	0	0	1	0	0	0	4096	0	0	0	4096	1626	0	8350	161	30	131	10137	attention	2	1626	52	8298	161
15	24	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2180	1095	9313	1557	1427	130	14145	gemm	0	2180	2645	7763	1557
16	25	0	1	1	0	0	0	1	0	1024	0	1024	1024	0	1024	3072	1291	0	2905	1854	1723	131	6050	rmsnorm	8	1291	89	2816	1854
17	26	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2160	1095	9342	1363	1233	130	13960	gemm	0	2160	2863	7574	1363
18	28	0	4	0	0	0	0	1	0	0	0	2048	1024	0	1024	3072	1250	0	6358	160	30	130	7768	elementwise	0	1250	0	6358	160
19	29	0	0	1	32	16	64	1	6144	1024	1024	7168	1024	1024	0	10240	2166	1110	18254	2083	1953	130	23613	gemm	0	2166	4318	15046	2083
20	30	0	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1238	0	2909	1973	1843	130	6120	rmsnorm	8	1238	89	2820	1973
21	32	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2158	1115	9290	1528	1252	276	14091	gemm	0	2158	3020	7385	1528
22	35	0	2	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1224	0	1521	159	30	129	2904	rope	0	1224	0	1521	159
23	36	0	3	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1145	0	854	159	30	129	2158	kvappend	0	1145	0	854	159
24	38	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1631	0	8047	159	30	129	9837	attention	2	1631	52	7995	159
