model	seq	variant	metric	rounds	median	ci_low	ci_high
gqa2	4	base	l1_ms	25	0.408768	0.407712	0.409632
gqa2	4	base	l2_ms	25	0.444352	0.443392	0.444576
gqa2	4	base	ratio	25	1.0853151244015382	1.0832550125313283	1.087719298245614
gqa2	4	base	notify_ms	25	0.060416000000000025	0.059551999999999994	0.060416000000000025
gqa2	4	base	wait_ms	25	0.027808	0.026624000000000037	0.028832000000000024
gqa2	4	base	barrier_ms	25	0.043167999999999984	0.04217600000000005	0.044032000000000016
gqa2	4	base	loop_ms	25	-0.010240000000000027	-0.011104000000000003	-0.010080000000000033
gqa2	4	base	gap_ms	25	0.034816000000000014	0.03401599999999999	0.03583999999999998
gqa2	4	base	closure_us	25	0.0	0.0	0.0
gqa2	4	lines	l1_ms	25	0.408736	0.407744	0.40976
gqa2	4	lines	l2_ms	25	0.443392	0.443296	0.444416
gqa2	4	lines	ratio	25	1.085	1.083215796897038	1.0873115577889445
gqa2	4	lines	notify_ms	25	0.060416000000000025	0.05942399999999998	0.061439999999999995
gqa2	4	lines	wait_ms	25	0.02764799999999995	0.02662399999999998	0.027775999999999967
gqa2	4	lines	barrier_ms	25	0.043008000000000046	0.04198400000000002	0.044032000000000016
gqa2	4	lines	loop_ms	25	-0.010239999999999971	-0.011168000000000011	-0.009216000000000002
gqa2	4	lines	gap_ms	25	0.03481599999999996	0.03398399999999996	0.03558399999999995
gqa2	4	lines	closure_us	25	0.0	0.0	0.0
gqa2	4	load	l1_ms	25	0.408768	0.408576	0.410624
gqa2	4	load	l2_ms	25	0.442368	0.442368	0.443392
gqa2	4	load	ratio	25	1.0809176871802821	1.0800031159928332	1.0845771144278606
gqa2	4	load	notify_ms	25	0.060255999999999976	0.05862400000000001	0.060416000000000025
gqa2	4	load	wait_ms	25	0.026463999999999988	0.025599999999999956	0.027648000000000006
gqa2	4	load	barrier_ms	25	0.043935999999999975	0.04300799999999999	0.04483200000000004
gqa2	4	load	loop_ms	25	-0.009216000000000002	-0.010240000000000027	-0.008191999999999977
gqa2	4	load	gap_ms	25	0.03340799999999999	0.03276800000000002	0.03462399999999999
gqa2	4	load	closure_us	25	0.0	0.0	0.0
gqa2	4	load_lines	l1_ms	25	0.409536	0.408576	0.410464
