mode	seq	workers	resident_limit	tasks	edges	same_worker_edges	producer_tasks	fence_free_producers	cross_worker_fraction	same_worker_fraction	used_workers	max_queue	queue_cap	min	p50	p95	max	forward_worker_span	slot_span_below_limit	resident_grid_safe	queue_cycle	overresident_proven	pareto	gate	strict_dominance
stage_major	4	16	256	104	334	80	100	47	0.760479	0.239521	16	18	0	-8	1	8	10	15	1	1	0	0	0	0	0
affine	4	16	256	104	334	12	100	0	0.964072	0.0359281	16	7	0	0	1	3	3	15	1	1	0	0	1	0	0
band_tiling	4	16	256	104	334	127	100	51	0.61976	0.38024	11	25	0	-16	5	18	21	10	1	1	0	0	1	0	0
wavefront	4	16	256	104	334	127	100	51	0.61976	0.38024	11	25	0	-16	5	18	21	10	1	1	0	0	1	0	0
affine_balanced_100	4	16	256	104	334	94	100	40	0.718563	0.281437	16	18	18	-17	1	9	13	9	1	1	0	0	1	1	1
affine_balanced_110	4	16	256	104	334	96	100	41	0.712575	0.287425	16	19	19	-17	1	6	13	8	1	1	0	0	1	1	0
affine_balanced_120	4	16	256	104	334	100	100	44	0.700599	0.299401	16	21	21	-18	1	9	17	11	1	1	0	0	1	1	0
band_tiling_balanced_100	4	16	256	104	334	94	100	40	0.718563	0.281437	16	18	18	-17	1	9	13	8	1	1	0	0	1	1	1
band_tiling_balanced_110	4	16	256	104	334	95	100	40	0.715569	0.284431	16	19	19	-17	1	6	13	7	1	1	0	0	0	1	0
band_tiling_balanced_120	4	16	256	104	334	100	100	44	0.700599	0.299401	16	21	21	-18	1	9	17	8	1	1	0	0	1	1	0
wavefront_balanced_100	4	16	256	104	334	94	100	40	0.718563	0.281437	16	18	18	-17	1	9	13	8	1	1	0	0	1	1	1
wavefront_balanced_110	4	16	256	104	334	95	100	40	0.715569	0.284431	16	19	19	-17	1	6	13	7	1	1	0	0	0	1	0
wavefront_balanced_120	4	16	256	104	334	100	100	44	0.700599	0.299401	16	21	21	-18	1	9	17	8	1	1	0	0	1	1	0
stage_major	4	256	256	104	334	80	100	47	0.760479	0.239521	16	18	0	-8	1	8	10	15	1	1	0	0	0	0	0
affine	4	256	256	104	334	0	100	0	1	0	104	1	0	0	0	0	0	0	1	1	0	0	1	0	0
band_tiling	4	256	256	104	334	127	100	51	0.61976	0.38024	11	25	0	-16	5	18	21	10	1	1	0	0	1	0	0
wavefront	4	256	256	104	334	127	100	51	0.61976	0.38024	11	25	0	-16	5	18	21	10	1	1	0	0	1	0	0
affine_balanced_100	4	256	256	104	334	90	100	40	0.730539	0.269461	25	18	18	-17	1	9	13	35	1	1	0	0	1	1	1
affine_balanced_110	4	256	256	104	334	95	100	40	0.715569	0.284431	20	19	19	-17	1	6	13	34	1	1	0	0	1	1	0
affine_balanced_120	4	256	256	104	334	100	100	44	0.700599	0.299401	19	21	21	-18	1	9	17	32	1	1	0	0	1	1	0
band_tiling_balanced_100	4	256	256	104	334	90	100	40	0.730539	0.269461	25	18	18	-17	1	9	13	13	1	1	0	0	1	1	1
band_tiling_balanced_110	4	256	256	104	334	95	100	40	0.715569	0.284431	20	19	19	-17	1	6	13	9	1	1	0	0	1	1	0
band_tiling_balanced_120	4	256	256	104	334	100	100	44	0.700599	0.299401	19	21	21	-18	1	9	17	10	1	1	0	0	1	1	0
wavefront_balanced_100	4	256	256	104	334	90	100	40	0.730539	0.269461	25	18	18	-17	1	9	13	13	1	1	0	0	1	1	1
wavefront_balanced_110	4	256	256	104	334	95	100	40	0.715569	0.284431	20	19	19	-17	1	6	13	9	1	1	0	0	1	1	0
wavefront_balanced_120	4	256	256	104	334	100	100	44	0.700599	0.299401	19	21	21	-18	1	9	17	10	1	1	0	0	1	1	0
stage_major	128	16	256	2104	135774	8684	2100	95	0.936041	0.0639592	16	142	0	-8	48	82	101	15	1	1	0	0	0	0	0
affine	128	16	256	2104	135774	8419	2100	0	0.937993	0.0620075	16	132	0	0	63	111	128	15	1	1	0	0	1	0	0
band_tiling	128	16	256	2104	135774	10848	2100	1188	0.920103	0.0798975	16	453	0	-32	208	382	422	15	0	1	0	0	0	0	0
wavefront	128	16	256	2104	135774	10848	2100	1188	0.920103	0.0798975	16	453	0	-32	208	382	422	15	0	1	0	0	0	0	0
affine_balanced_100	128	16	256	2104	135774	13904	2100	585	0.897595	0.102405	16	142	142	-116	63	120	141	14	1	1	0	0	1	1	1
affine_balanced_110	128	16	256	2104	135774	13592	2100	600	0.899892	0.100108	16	156	156	-131	59	134	155	14	1	1	0	0	0	1	0
affine_balanced_120	128	16	256	2104	135774	13383	2100	552	0.901432	0.0985682	16	170	170	-146	62	148	169	14	1	1	0	0	0	1	0
