candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
32x16x16s2split1kappa1	47838.609952412226	264578.31223547721	21124.421163032832	264578.31223547721
32x16x16s2split1kappa2	47838.609952412226	264578.31223547721	21124.421163032832	264578.31223547721
32x16x16s2split1kappa4	47838.609952412226	264578.31223547721	21124.421163032832	264578.31223547721
32x16x16s2split2kappa1	57288.242207347539	185778.64218841633	11639.00890151207	185778.64218841633
32x16x16s2split2kappa2	57288.242207347539	185778.64218841633	11639.00890151207	185778.64218841633
32x16x16s2split2kappa4	57288.242207347539	185778.64218841633	11639.00890151207	185778.64218841633
32x16x16s2split4kappa1	70517.514357652006	139992.60653596322	6896.3027707516894	139992.60653596322
32x16x16s2split4kappa2	70517.514357652006	139992.60653596322	6896.3027707516894	139992.60653596322
32x16x16s2split4kappa4	70517.514357652006	139992.60653596322	6896.3027707516894	139992.60653596322
32x16x16s2split8kappa1	96976.058658168462	119561.12719246293	6678.5463453628072	119561.12719246293
32x16x16s2split8kappa2	96976.058658168462	119561.12719246293	6678.5463453628072	119561.12719246293
32x16x16s2split8kappa4	96976.058658168462	119561.12719246293	6678.5463453628072	119561.12719246293
32x16x16s2split16kappa1	149893.14725926684	114268.46448616523	8239.3047190090692	149893.14725926684
32x16x16s2split16kappa2	149893.14725926684	114268.46448616523	8239.3047190090692	149893.14725926684
32x16x16s2split16kappa4	149893.14725926684	114268.46448616523	8239.3047190090692	149893.14725926684
32x16x16s2split32kappa1	255727.32446249307	121468.28706392116	14700.094638982995	255727.32446249307
32x16x16s2split32kappa2	255727.32446249307	121468.28706392116	14700.094638982995	255727.32446249307
32x16x16s2split32kappa4	255727.32446249307	121468.28706392116	14700.094638982995	255727.32446249307
32x16x32s2split1kappa1	32744.565831088668	174014.04750750648	12067.99469023577	174014.04750750648
32x16x32s2split1kappa2	32744.565831088668	174014.04750750648	12067.99469023577	174014.04750750648
32x16x32s2split1kappa4	32744.565831088668	174014.04750750648	12067.99469023577	174014.04750750648
32x16x32s2split2kappa1	42194.19808603407	140496.50982443092	7110.7956651135391	140496.50982443092
32x16x32s2split2kappa2	42194.19808603407	140496.50982443092	7110.7956651135391	140496.50982443092
32x16x32s2split2kappa4	42194.19808603407	140496.50982443092	7110.7956651135391	140496.50982443092
32x16x32s2split4kappa1	55423.470236298766	117351.54035397054	4632.1961525524239	117351.54035397054
32x16x32s2split4kappa2	55423.470236298766	117351.54035397054	4632.1961525524239	117351.54035397054
32x16x32s2split4kappa4	55423.470236298766	117351.54035397054	4632.1961525524239	117351.54035397054
32x16x32s2split8kappa1	81882.014536926421	108240.5941014666	5546.4930362631749	108240.5941014666
32x16x32s2split8kappa2	81882.014536926421	108240.5941014666	5546.4930362631749	108240.5941014666
32x16x32s2split8kappa4	81882.014536926421	108240.5941014666	5546.4930362631749	108240.5941014666
32x16x32s2split16kappa1	134799.10313811697	108608.19794066707	7390.2647371843441	134799.10313811697
32x16x32s2split16kappa2	134799.10313811697	108608.19794066707	7390.2647371843441	134799.10313811697
32x16x32s2split16kappa4	134799.10313811697	108608.19794066707	7390.2647371843441	134799.10313811697
32x16x32s2split32kappa1	146558.45616059299	110650.94949468812	7390.2647371843441	146558.45616059299
32x16x32s2split32kappa2	146558.45616059299	110650.94949468812	7390.2647371843441	146558.45616059299
32x16x32s2split32kappa4	146558.45616059299	110650.94949468812	7390.2647371843441	146558.45616059299
32x16x64s2split1kappa1	25197.543770424105	128731.91514352112	7539.7814538372404	128731.91514352112
32x16x64s2split1kappa2	25197.543770424105	128731.91514352112	7539.7814538372404	128731.91514352112
32x16x64s2split1kappa4	25197.543770424105	128731.91514352112	7539.7814538372404	128731.91514352112
32x16x64s2split2kappa1	34647.176025372552	117855.44364243824	4846.6890469142745	117855.44364243824
32x16x64s2split2kappa2	34647.176025372552	117855.44364243824	4846.6890469142745	117855.44364243824
32x16x64s2split2kappa4	34647.176025372552	117855.44364243824	4846.6890469142745	117855.44364243824
32x16x64s2split4kappa1	47876.448175664846	106031.00726297422	3500.1428434527916	106031.00726297422
32x16x64s2split4kappa2	47876.448175664846	106031.00726297422	3500.1428434527916	106031.00726297422
32x16x64s2split4kappa4	47876.448175664846	106031.00726297422	3500.1428434527916	106031.00726297422
32x16x64s2split8kappa1	74334.992476165047	102580.32755596846	4980.4663817133587	102580.32755596846
32x16x64s2split8kappa2	74334.992476165047	102580.32755596846	4980.4663817133587	102580.32755596846
32x16x64s2split8kappa4	74334.992476165047	102580.32755596846	4980.4663817133587	102580.32755596846
32x16x64s2split16kappa1	80214.668987373821	102874.80700765779	4980.4663817133587	102874.80700765779
32x16x64s2split16kappa2	80214.668987373821	102874.80700765779	4980.4663817133587	102874.80700765779
32x16x64s2split16kappa4	80214.668987373821	102874.80700765779	4980.4663817133587	102874.80700765779
32x16x64s2split32kappa1	80214.668987373821	102874.80700765779	4980.4663817133587	102874.80700765779
32x16x64s2split32kappa2	80214.668987373821	102874.80700765779	4980.4663817133587	102874.80700765779
32x16x64s2split32kappa4	80214.668987373821	102874.80700765779	4980.4663817133587	102874.80700765779
64x128x16s2split1kappa1	13920.507744936273	430839.5801582135	36341.840531345486	430839.5801582135
64x128x16s2split1kappa2	13920.507744936273	430839.5801582135	36341.840531345486	430839.5801582135
64x128x16s2split1kappa4	13920.507744936273	430839.5801582135	36341.840531345486	430839.5801582135
64x128x16s2split2kappa1	15400.048783438942	327692.04214689846	20421.641438969215	327692.04214689846
64x128x16s2split2kappa2	15400.048783438942	327692.04214689846	20421.641438969215	327692.04214689846
64x128x16s2split2kappa4	15400.048783438942	327692.04214689846	20421.641438969215	327692.04214689846
64x128x16s2split4kappa1	17395.78197375219	274347.45716742973	12461.541892781075	274347.45716742973
64x128x16s2split4kappa2	17395.78197375219	274347.45716742973	12461.541892781075	274347.45716742973
64x128x16s2split4kappa4	17395.78197375219	274347.45716742973	12461.541892781075	274347.45716742973
64x128x16s2split8kappa1	21387.248354379521	287059.78040131496	8631.6084793742448	287059.78040131496
64x128x16s2split8kappa2	21387.248354379521	287059.78040131496	8631.6084793742448	287059.78040131496
