stage	logical_stage	combine	task_ns	count
0	0	0	2144	1
1	1	0	5848	32
2	2	0	5536	32
3	3	0	6056	32
4	4	0	1126	4
5	5	0	1024	4
6	6	0	684	4
7	7	0	774	4
8	8	0	19156	4
9	9	0	14216	32
10	10	0	2048	1
11	11	0	6522	64
12	12	0	6110	64
13	13	0	3072	1
14	14	0	15400	32
15	15	0	2048	1
16	16	0	5772	32
17	17	0	5592	32
18	18	0	5772	32
19	19	0	1094	4
20	20	0	1030	4
21	21	0	762	4
22	22	0	820	4
23	23	0	19274	4
24	24	0	14784	32
25	25	0	2048	1
26	26	0	6550	64
27	27	0	6332	64
28	28	0	3072	1
29	29	0	15144	32
30	30	0	2048	1
31	31	0	6244	32
32	32	0	5772	32
33	33	0	5772	32
34	34	0	1152	4
35	35	0	1020	4
36	36	0	692	4
37	37	0	824	4
38	38	0	19322	4
39	39	0	14208	32
40	40	0	2048	1
41	41	0	6352	64
42	42	0	6474	64
43	43	0	3072	1
44	44	0	14832	32
45	45	0	2048	1
46	46	0	5536	32
47	47	0	5772	32
48	48	0	6244	32
49	49	0	1106	4
50	50	0	1020	4
51	51	0	710	4
52	52	0	822	4
53	53	0	19110	4
54	54	0	13932	32
55	55	0	2048	1
56	56	0	6508	64
57	57	0	6522	64
58	58	0	3072	1
59	59	0	15068	32
