chain	nodes	ns	worker
0	1	30235.10336	0
1	1	30235.10336	1
2	1	30235.10336	2
3	1	30235.10336	3
4	1	30235.10336	4
5	1	30235.10336	5
6	1	30235.10336	6
7	1	30235.10336	7
8	3	18774.86213	8
9	3	18774.86213	9
10	3	18774.86213	10
11	3	18774.86213	11
12	2	18723.61078	12
13	2	18723.61078	13
14	2	18723.61078	14
15	2	18723.61078	15
16	2	18723.61078	16
17	2	18723.61078	17
18	2	18723.61078	18
19	2	18723.61078	19
20	2	18723.61078	20
21	2	18723.61078	21
22	2	18723.61078	22
23	2	18723.61078	23
24	2	18723.61078	24
25	2	18723.61078	25
26	2	18723.61078	26
27	2	18723.61078	27
28	2	18723.61078	28
29	2	18723.61078	29
30	2	18723.61078	30
31	2	18723.61078	31
32	2	18723.61078	32
33	2	18723.61078	33
34	2	18723.61078	34
35	2	18723.61078	35
36	2	18723.61078	36
37	2	18723.61078	37
38	2	18723.61078	38
39	2	18723.61078	39
40	2	18723.61078	40
41	2	18723.61078	41
42	2	18723.61078	42
43	2	18723.61078	43
44	2	18540.91847	44
45	2	18540.91847	45
46	2	18540.91847	46
47	2	18540.91847	47
48	2	18540.91847	48
49	2	18540.91847	49
50	2	18540.91847	50
51	2	18540.91847	51
52	2	18537.71334	52
53	2	18537.71334	53
54	2	18537.71334	54
55	2	18537.71334	55
56	1	18303.76967	56
57	1	18303.76967	57
58	1	18303.76967	58
59	1	18303.76967	59
60	1	18303.76967	60
61	1	18303.76967	61
62	1	18303.76967	62
63	1	18303.76967	63
