chain	nodes	ns	worker
0	3	19242.73141	12
1	3	19242.73141	13
2	3	19242.73141	14
3	3	19242.73141	15
4	3	19239.52628	20
5	3	19239.52628	21
6	3	19239.52628	22
7	3	19239.52628	23
8	3	19239.52628	24
9	3	19242.73141	16
10	3	19242.73141	17
11	3	19242.73141	18
12	3	19242.73141	19
13	3	19239.52628	25
14	3	19239.52628	26
15	3	19239.52628	27
16	4	19476.67508	4
17	4	19476.67508	5
18	4	19476.67508	6
19	4	19476.67508	7
20	1	30235.10336	0
21	1	30235.10336	1
22	1	30235.10336	2
23	1	30235.10336	3
24	2	18723.61078	28
25	2	18723.61078	29
26	2	18723.61078	30
27	2	18723.61078	31
28	1	18303.76967	32
29	1	18303.76967	33
30	1	18303.76967	34
31	1	18303.76967	35
32	1	18303.76967	36
33	1	18303.76967	37
34	1	18303.76967	38
35	1	18303.76967	39
36	1	18303.76967	40
37	1	18303.76967	41
38	1	18303.76967	42
39	1	18303.76967	43
40	1	18303.76967	44
41	1	18303.76967	45
42	1	18303.76967	46
43	1	18303.76967	47
44	4	19476.67508	8
45	4	19476.67508	9
46	4	19476.67508	10
47	4	19476.67508	11
