step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	196	29	14	-1	-1	30235.10336	350176.8491	380411.9525	1	1234.610389	h
1	193	28	15	-1	-1	419.8411039	348522.3976	348942.2387	1	56145.7904	h
2	182	26	6	-1	-1	18303.76967	328984.1466	347287.9162	1	0	q
3	180	26	6	-1	-1	18303.76967	310680.3769	328984.1466	1	0	q
4	178	26	6	-1	-1	18303.76967	292376.6072	310680.3769	1	0	q
5	176	26	6	-1	-1	18303.76967	274072.8375	292376.6072	1	1233.929013	h
6	175	25	7	-1	-1	1584.633492	271254.275	272838.9085	1	0	q
7	173	25	7	-1	-1	1584.633492	269669.6416	271254.275	1	1234.610389	h
8	170	24	6	-1	-1	18303.76967	250131.2615	268435.0312	1	0	q
9	168	24	6	-1	-1	18303.76967	231827.4918	250131.2615	1	1234.776697	h
10	167	23	7	-1	-1	701.8129468	229890.9022	230592.7151	1	0	q
11	163	23	7	-1	-1	701.8129468	229189.0892	229890.9022	1	0	q
12	159	23	7	-1	-1	701.8129468	228487.2763	229189.0892	1	0	q
13	157	23	7	-1	-1	701.8129468	227785.4633	228487.2763	1	0	q
14	155	23	7	-1	-1	701.8129468	227083.6504	227785.4633	1	0	q
15	153	23	7	-1	-1	701.8129468	226381.8374	227083.6504	1	1234.025586	h
16	150	22	6	-1	-1	233.9436664	224913.8682	225147.8119	1	0	q
17	148	22	6	-1	-1	233.9436664	224679.9245	224913.8682	1	0	q
18	146	22	6	-1	-1	233.9436664	224445.9809	224679.9245	1	0	q
19	144	22	6	-1	-1	233.9436664	224212.0372	224445.9809	1	0	q
20	126	19	6	-1	-1	237.1487946	223974.8884	224212.0372	1	0	q
21	122	19	6	-1	-1	237.1487946	223737.7396	223974.8884	1	0	q
22	118	19	6	-1	-1	237.1487946	223500.5908	223737.7396	1	0	q
23	116	19	6	-1	-1	237.1487946	223263.442	223500.5908	1	0	q
24	114	19	6	-1	-1	237.1487946	223026.2932	223263.442	1	0	q
25	112	19	6	-1	-1	237.1487946	222789.1444	223026.2932	1	1233.846286	h
26	106	16	4	-1	-1	18303.76967	203251.5285	221555.2981	1	0	q
27	108	17	4	-1	-1	18303.76967	184947.7588	203251.5285	1	1234.286877	h
28	101	15	5	-1	-1	1584.633492	182128.8384	183713.4719	1	1234.610389	h
29	96	14	4	-1	-1	30235.10336	150659.1247	180894.228	1	1234.610389	h
30	93	13	5	-1	-1	419.8411039	149004.6732	149424.5143	1	37842.02073	h
31	80	11	0	-1	-1	18303.76967	129466.4221	147770.1918	1	0	q
32	78	11	0	-1	-1	18303.76967	111162.6524	129466.4221	1	0	q
33	76	11	0	-1	-1	18303.76967	92858.88278	111162.6524	1	1235.270011	h
34	75	10	1	-1	-1	1584.633492	90040.36311	91624.99661	1	0	q
35	73	10	1	-1	-1	1584.633492	88455.72962	90040.36311	1	1235.994229	h
36	70	9	0	-1	-1	18303.76967	68917.34956	87221.11923	1	0	q
37	68	9	0	-1	-1	18303.76967	50613.57989	68917.34956	1	1236.160537	h
38	67	8	1	-1	-1	701.8129468	48676.99025	49378.80319	1	0	q
39	65	8	1	-1	-1	701.8129468	47975.1773	48676.99025	1	0	q
40	63	8	1	-1	-1	701.8129468	47273.36435	47975.1773	1	0	q
41	61	8	1	-1	-1	701.8129468	46571.55141	47273.36435	1	0	q
42	59	8	1	-1	-1	701.8129468	45869.73846	46571.55141	1	0	q
43	57	8	1	-1	-1	701.8129468	45167.92551	45869.73846	1	0	q
44	55	8	1	-1	-1	701.8129468	44466.11257	45167.92551	1	0	q
45	53	8	1	-1	-1	701.8129468	43764.29962	44466.11257	1	1231.809185	h
46	42	6	0	-1	-1	233.9436664	42298.54677	42532.49043	1	0	q
47	40	6	0	-1	-1	233.9436664	42064.6031	42298.54677	1	0	q
48	38	6	0	-1	-1	233.9436664	41830.65943	42064.6031	1	0	q
49	36	6	0	-1	-1	233.9436664	41596.71577	41830.65943	1	0	q
50	50	7	0	-1	-1	233.9436664	41362.7721	41596.71577	1	0	q
51	48	7	0	-1	-1	233.9436664	41128.82843	41362.7721	1	0	q
52	46	7	0	-1	-1	233.9436664	40894.88477	41128.82843	1	0	q
53	44	7	0	-1	-1	233.9436664	40660.9411	40894.88477	1	285.886212	h
54	11	3	1	-1	-1	18303.76967	21122.69004	39426.45971	1	0	q
55	9	2	1	-1	-1	18303.76967	2818.920369	21122.69004	1	1234.286877	h
56	0	0	0	-1	-1	1584.633492	0	1584.633492	1	0	-
