step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	2768	59	208	-1	-1	485456.7466	3855444.602	4340901.349	1	301280.0692	h
1	2764	58	204	-1	-1	6546.930886	3847664.281	3854211.212	1	293499.7479	h
2	2540	56	236	-1	-1	143253.6676	3559922.464	3846429.799	2	153787.0184	h
3	2536	55	232	-1	-1	3291.274528	3555398.909	3558690.183	1	149263.4631	h
4	2504	54	200	-1	-1	143253.6676	3410910.865	3554164.533	1	5035.469338	h
5	2376	53	72	-1	-1	835.6983641	3408841.776	3409677.475	1	4461.878842	h
6	2316	51	44	-1	-1	254.5414229	3407354.633	3407609.174	1	151987.2151	h
7	2284	50	108	-1	-1	262.8959903	3405609.654	3406132.6	1.989173915	644713.7857	h
8	2136	47	56	-1	-1	143253.6676	3261126.23	3404379.898	1	500230.3618	h
9	2100	45	52	-1	-1	3291.274528	3256601.794	3259893.068	1	495705.9254	h
10	2068	44	20	-1	-1	485456.7466	2769910.671	3255367.418	1	301280.0692	h
11	2064	43	16	-1	-1	6546.930886	2762130.35	2768677.28	1	293499.7479	h
12	1840	41	48	-1	-1	143253.6676	2474388.533	2760895.868	2	153787.0184	h
13	1836	40	44	-1	-1	3291.274528	2469864.978	2473156.252	1	149263.4631	h
14	1804	39	12	-1	-1	143253.6676	2325376.934	2468630.602	1	5035.469338	h
15	1676	38	140	-1	-1	835.6983641	2323307.845	2324143.544	1	4461.878842	h
16	1616	36	112	-1	-1	254.5414229	2321820.701	2322075.243	1	151987.2151	h
17	1584	35	176	-1	-1	262.8959903	2320075.723	2320598.668	1.989173915	644713.7857	h
18	1436	32	124	-1	-1	143253.6676	2175592.299	2318845.966	1	500230.3618	h
19	1400	30	120	-1	-1	3291.274528	2171067.862	2174359.137	1	495705.9254	h
20	1368	29	88	-1	-1	485456.7466	1684376.74	2169833.486	1	301280.0692	h
21	1364	28	84	-1	-1	6546.930886	1676596.418	1683143.349	1	293499.7479	h
22	1140	26	116	-1	-1	143253.6676	1388854.602	1675361.937	2	153787.0184	h
23	1136	25	112	-1	-1	3291.274528	1384331.047	1387622.321	1	149263.4631	h
24	1104	24	80	-1	-1	143253.6676	1239843.003	1383096.671	1	5035.469338	h
25	976	23	208	-1	-1	835.6983641	1237773.914	1238609.612	1	4461.878842	h
26	916	21	180	-1	-1	254.5414229	1236286.77	1236541.312	1	151987.2151	h
27	884	20	244	-1	-1	262.8959903	1234541.791	1235064.737	1.989173915	644713.7857	h
28	736	17	192	-1	-1	143253.6676	1090058.368	1233312.035	1	500230.3618	h
29	700	15	188	-1	-1	3291.274528	1085533.931	1088825.206	1	495705.9254	h
30	668	14	156	-1	-1	485456.7466	598842.8086	1084299.555	1	301280.0692	h
31	664	13	152	-1	-1	6546.930886	591062.4872	597609.4181	1	293499.7479	h
32	440	11	184	-1	-1	143253.6676	303320.6706	589828.0058	2	153787.0184	h
33	436	10	180	-1	-1	3291.274528	298797.1153	302088.3899	1	149263.4631	h
34	404	9	148	-1	-1	143253.6676	154309.0718	297562.7393	1	5035.469338	h
35	276	8	20	-1	-1	835.6983641	152239.9829	153075.6813	1	4461.878842	h
36	216	6	248	-1	-1	254.5414229	150752.8391	151007.3806	1	150752.8391	h
37	184	5	56	-1	-1	262.8959903	149007.8603	149530.8061	1.989173915	149007.8603	h
38	36	2	4	-1	-1	143253.6676	4524.436482	147778.1041	1	4524.436482	h
39	0	0	0	-1	-1	3291.274528	0	3291.274528	1	0	-
