stage	logical_stage	combine	task_ns	count
0	0	0	1536	4
1	1	0	2739.2	64
2	1	1	2631.68	8
3	2	0	2995.2	32
4	2	1	2887.68	4
5	3	0	2483.2	32
6	3	1	2375.68	4
7	4	0	1024	16
8	5	0	1024	8
9	6	0	1024	8
10	7	0	1024	8
11	8	0	3520	16
12	9	0	5555.2	64
13	9	1	5447.68	8
14	10	0	2048	4
15	11	0	2483.2	128
16	11	1	2375.68	16
17	12	0	2483.2	128
18	12	1	2375.68	16
19	13	0	3072	4
20	14	0	5465.6	64
21	14	1	4935.68	8
22	15	0	2048	4
23	16	0	2483.2	64
24	16	1	2375.68	8
25	17	0	2483.2	32
26	17	1	2375.68	4
27	18	0	2483.2	32
28	18	1	2375.68	4
29	19	0	1024	16
30	20	0	1024	8
31	21	0	1024	8
32	22	0	1024	8
33	23	0	3712	16
34	24	0	4787.2	64
35	24	1	4679.68	8
36	25	0	2048	4
37	26	0	2483.2	128
38	26	1	2375.68	16
39	27	0	2483.2	128
40	27	1	2375.68	16
41	28	0	3072	4
42	29	0	4966.4	64
43	29	1	4423.68	8
