worker	slot	stage	logical_task	dependency_begin	dependency_count	wait_begin	wait_count
0	0	0	0	0	0	0	0
0	1	3	0	2	1	0	3
0	2	1	64	0	1	3	0
0	3	4	0	3	1	3	3
0	4	8	0	7	1	6	1
0	5	9	0	8	1	7	0
0	6	11	12	10	3	7	3
0	7	12	0	13	1	10	1
0	8	13	0	14	1	11	3
0	9	14	0	15	1	14	31
0	10	15	0	16	1	45	3
0	11	15	128	16	1	48	0
0	12	17	0	18	1	48	0
0	13	17	128	18	1	48	0
0	14	16	0	17	1	48	3
0	15	19	0	20	2	51	127
0	16	20	0	22	2	178	3
0	17	21	0	24	1	181	3
0	18	22	0	25	1	184	31
0	19	25	0	28	1	215	3
0	20	23	64	26	1	218	0
0	21	26	0	29	1	218	3
0	22	30	0	33	1	221	1
0	23	31	0	34	1	222	0
0	24	33	12	36	3	222	3
0	25	34	0	39	2	225	1
0	26	35	0	41	1	226	3
0	27	36	0	42	1	229	31
0	28	37	0	43	1	260	3
0	29	37	128	43	1	263	0
0	30	39	0	45	1	263	0
0	31	39	128	45	1	263	0
0	32	38	0	44	1	263	3
0	33	41	0	47	2	266	127
0	34	42	0	49	2	393	3
0	35	43	0	51	1	396	3
1	0	0	1	0	0	399	0
1	1	3	1	2	1	399	3
1	2	1	65	0	1	402	0
1	3	4	1	3	1	402	4
1	4	8	1	7	1	406	1
1	5	9	1	8	1	407	0
1	6	11	13	10	3	407	3
1	7	12	1	13	1	410	1
1	8	13	1	14	1	411	4
1	9	14	1	15	1	415	31
1	10	15	1	16	1	446	3
1	11	15	129	16	1	449	0
1	12	17	1	18	1	449	0
1	13	17	129	18	1	449	0
1	14	16	1	17	1	449	4
1	15	19	1	20	2	453	127
1	16	20	1	22	2	580	3
1	17	21	1	24	1	583	4
1	18	22	1	25	1	587	31
1	19	25	1	28	1	618	3
1	20	23	65	26	1	621	0
1	21	26	1	29	1	621	4
1	22	30	1	33	1	625	1
1	23	31	1	34	1	626	0
1	24	33	13	36	3	626	3
1	25	34	1	39	2	629	1
1	26	35	1	41	1	630	4
1	27	36	1	42	1	634	31
1	28	37	1	43	1	665	3
1	29	37	129	43	1	668	0
1	30	39	1	45	1	668	0
1	31	39	129	45	1	668	0
1	32	38	1	44	1	668	4
1	33	41	1	47	2	672	127
1	34	42	1	49	2	799	3
1	35	43	1	51	1	802	4
2	0	0	2	0	0	806	0
2	1	3	2	2	1	806	3
2	2	1	66	0	1	809	0
2	3	4	2	3	1	809	4
2	4	8	2	7	1	813	1
2	5	9	2	8	1	814	0
2	6	11	14	10	3	814	3
2	7	12	2	13	1	817	1
2	8	13	2	14	1	818	4
2	9	14	2	15	1	822	31
2	10	15	2	16	1	853	3
2	11	15	130	16	1	856	0
2	12	17	2	18	1	856	0
2	13	17	130	18	1	856	0
2	14	16	2	17	1	856	4
2	15	19	2	20	2	860	127
2	16	20	2	22	2	987	3
2	17	21	2	24	1	990	4
2	18	22	2	25	1	994	31
2	19	25	2	28	1	1025	3
2	20	23	66	26	1	1028	0
2	21	26	2	29	1	1028	4
2	22	30	2	33	1	1032	1
2	23	31	2	34	1	1033	0
2	24	33	14	36	3	1033	3
2	25	34	2	39	2	1036	1
2	26	35	2	41	1	1037	4
2	27	36	2	42	1	1041	31
2	28	37	2	43	1	1072	3
2	29	37	130	43	1	1075	0
2	30	39	2	45	1	1075	0
2	31	39	130	45	1	1075	0
2	32	38	2	44	1	1075	4
2	33	41	2	47	2	1079	127
2	34	42	2	49	2	1206	3
2	35	43	2	51	1	1209	4
3	0	0	3	0	0	1213	0
3	1	3	3	2	1	1213	3
3	2	1	67	0	1	1216	0
3	3	4	3	3	1	1216	4
3	4	8	3	7	1	1220	1
3	5	9	3	8	1	1221	0
3	6	11	15	10	3	1221	3
3	7	12	3	13	1	1224	1
3	8	13	3	14	1	1225	4
3	9	14	3	15	1	1229	31
3	10	15	3	16	1	1260	3
3	11	15	131	16	1	1263	0
3	12	17	3	18	1	1263	0
3	13	17	131	18	1	1263	0
3	14	16	3	17	1	1263	4
3	15	19	3	20	2	1267	127
3	16	20	3	22	2	1394	3
3	17	21	3	24	1	1397	4
3	18	22	3	25	1	1401	31
3	19	25	3	28	1	1432	3
3	20	23	67	26	1	1435	0
3	21	26	3	29	1	1435	4
3	22	30	3	33	1	1439	1
3	23	31	3	34	1	1440	0
3	24	33	15	36	3	1440	3
3	25	34	3	39	2	1443	1
3	26	35	3	41	1	1444	4
3	27	36	3	42	1	1448	31
3	28	37	3	43	1	1479	3
3	29	37	131	43	1	1482	0
3	30	39	3	45	1	1482	0
3	31	39	131	45	1	1482	0
3	32	38	3	44	1	1482	4
3	33	41	3	47	2	1486	127
3	34	42	3	49	2	1613	3
3	35	43	3	51	1	1616	4
4	0	3	4	2	1	1620	4
4	1	1	68	0	1	1624	0
4	2	4	4	3	1	1624	4
4	3	8	4	7	1	1628	1
4	4	9	4	8	1	1629	0
4	5	11	8	10	3	1629	3
4	6	12	4	13	1	1632	1
4	7	13	4	14	1	1633	4
4	8	15	4	16	1	1637	4
4	9	15	132	16	1	1641	0
4	10	17	4	18	1	1641	0
4	11	17	132	18	1	1641	0
4	12	16	4	17	1	1641	4
4	13	20	4	22	2	1645	4
4	14	21	4	24	1	1649	4
4	15	25	4	28	1	1653	4
4	16	23	68	26	1	1657	0
4	17	26	4	29	1	1657	4
4	18	30	4	33	1	1661	1
4	19	31	4	34	1	1662	0
4	20	33	8	36	3	1662	3
4	21	34	4	39	2	1665	1
4	22	35	4	41	1	1666	4
4	23	37	4	43	1	1670	4
4	24	37	132	43	1	1674	0
4	25	39	4	45	1	1674	0
4	26	39	132	45	1	1674	0
4	27	38	4	44	1	1674	4
4	28	42	4	49	2	1678	4
4	29	43	4	51	1	1682	4
5	0	3	5	2	1	1686	4
5	1	1	69	0	1	1690	0
5	2	4	5	3	1	1690	4
5	3	8	5	7	1	1694	1
5	4	9	5	8	1	1695	0
5	5	11	9	10	3	1695	3
5	6	12	5	13	1	1698	1
5	7	13	5	14	1	1699	4
5	8	15	5	16	1	1703	4
5	9	15	133	16	1	1707	0
5	10	17	5	18	1	1707	0
5	11	17	133	18	1	1707	0
5	12	16	5	17	1	1707	4
5	13	20	5	22	2	1711	4
5	14	21	5	24	1	1715	4
5	15	25	5	28	1	1719	4
5	16	23	69	26	1	1723	0
5	17	26	5	29	1	1723	4
5	18	30	5	33	1	1727	1
5	19	31	5	34	1	1728	0
5	20	33	9	36	3	1728	3
5	21	34	5	39	2	1731	1
5	22	35	5	41	1	1732	4
5	23	37	5	43	1	1736	4
5	24	37	133	43	1	1740	0
5	25	39	5	45	1	1740	0
5	26	39	133	45	1	1740	0
5	27	38	5	44	1	1740	4
5	28	42	5	49	2	1744	4
5	29	43	5	51	1	1748	4
6	0	3	6	2	1	1752	4
6	1	1	70	0	1	1756	0
6	2	4	6	3	1	1756	4
6	3	8	6	7	1	1760	1
6	4	9	6	8	1	1761	0
6	5	11	10	10	3	1761	3
6	6	12	6	13	1	1764	1
6	7	13	6	14	1	1765	4
6	8	15	6	16	1	1769	4
6	9	15	134	16	1	1773	0
6	10	17	6	18	1	1773	0
6	11	17	134	18	1	1773	0
6	12	16	6	17	1	1773	4
6	13	20	6	22	2	1777	4
6	14	21	6	24	1	1781	4
6	15	25	6	28	1	1785	4
6	16	23	70	26	1	1789	0
6	17	26	6	29	1	1789	4
6	18	30	6	33	1	1793	1
6	19	31	6	34	1	1794	0
6	20	33	10	36	3	1794	3
6	21	34	6	39	2	1797	1
6	22	35	6	41	1	1798	4
6	23	37	6	43	1	1802	4
6	24	37	134	43	1	1806	0
6	25	39	6	45	1	1806	0
6	26	39	134	45	1	1806	0
6	27	38	6	44	1	1806	4
6	28	42	6	49	2	1810	4
6	29	43	6	51	1	1814	4
7	0	3	7	2	1	1818	4
7	1	1	71	0	1	1822	0
7	2	4	7	3	1	1822	4
7	3	8	7	7	1	1826	1
7	4	9	7	8	1	1827	0
7	5	11	11	10	3	1827	3
7	6	12	7	13	1	1830	1
7	7	13	7	14	1	1831	4
7	8	15	7	16	1	1835	4
7	9	15	135	16	1	1839	0
7	10	17	7	18	1	1839	0
7	11	17	135	18	1	1839	0
7	12	16	7	17	1	1839	4
7	13	20	7	22	2	1843	4
7	14	21	7	24	1	1847	4
7	15	25	7	28	1	1851	4
7	16	23	71	26	1	1855	0
7	17	26	7	29	1	1855	4
7	18	30	7	33	1	1859	1
7	19	31	7	34	1	1860	0
7	20	33	11	36	3	1860	3
7	21	34	7	39	2	1863	1
7	22	35	7	41	1	1864	4
7	23	37	7	43	1	1868	4
7	24	37	135	43	1	1872	0
7	25	39	7	45	1	1872	0
7	26	39	135	45	1	1872	0
7	27	38	7	44	1	1872	4
7	28	42	7	49	2	1876	4
7	29	43	7	51	1	1880	4
8	0	3	8	2	1	1884	4
8	1	1	72	0	1	1888	0
8	2	4	8	3	1	1888	4
8	3	7	12	6	1	1892	1
8	4	11	4	10	3	1893	3
8	5	12	8	13	1	1896	1
8	6	13	8	14	1	1897	4
8	7	15	8	16	1	1901	4
8	8	15	136	16	1	1905	0
8	9	17	8	18	1	1905	0
8	10	17	136	18	1	1905	0
8	11	16	8	17	1	1905	4
8	12	20	8	22	2	1909	4
8	13	21	8	24	1	1913	4
8	14	25	8	28	1	1917	4
8	15	23	72	26	1	1921	0
8	16	26	8	29	1	1921	4
8	17	29	12	32	1	1925	1
8	18	33	4	36	3	1926	3
8	19	34	8	39	2	1929	1
8	20	35	8	41	1	1930	4
8	21	37	8	43	1	1934	4
8	22	37	136	43	1	1938	0
8	23	39	8	45	1	1938	0
8	24	39	136	45	1	1938	0
8	25	38	8	44	1	1938	4
8	26	42	8	49	2	1942	4
8	27	43	8	51	1	1946	4
9	0	3	9	2	1	1950	4
9	1	1	73	0	1	1954	0
9	2	4	9	3	1	1954	4
9	3	7	13	6	1	1958	1
9	4	11	5	10	3	1959	3
9	5	12	9	13	1	1962	1
9	6	13	9	14	1	1963	4
9	7	15	9	16	1	1967	4
9	8	15	137	16	1	1971	0
9	9	17	9	18	1	1971	0
9	10	17	137	18	1	1971	0
9	11	16	9	17	1	1971	4
9	12	20	9	22	2	1975	4
9	13	21	9	24	1	1979	4
9	14	25	9	28	1	1983	4
9	15	23	73	26	1	1987	0
9	16	26	9	29	1	1987	4
9	17	29	13	32	1	1991	1
9	18	33	5	36	3	1992	3
9	19	34	9	39	2	1995	1
9	20	35	9	41	1	1996	4
9	21	37	9	43	1	2000	4
9	22	37	137	43	1	2004	0
9	23	39	9	45	1	2004	0
9	24	39	137	45	1	2004	0
9	25	38	9	44	1	2004	4
9	26	42	9	49	2	2008	4
9	27	43	9	51	1	2012	4
10	0	3	10	2	1	2016	4
10	1	1	74	0	1	2020	0
10	2	4	10	3	1	2020	4
10	3	7	14	6	1	2024	1
10	4	11	6	10	3	2025	3
10	5	12	10	13	1	2028	1
10	6	13	10	14	1	2029	4
10	7	15	10	16	1	2033	4
10	8	15	138	16	1	2037	0
10	9	17	10	18	1	2037	0
10	10	17	138	18	1	2037	0
10	11	16	10	17	1	2037	4
10	12	20	10	22	2	2041	4
10	13	21	10	24	1	2045	4
10	14	25	10	28	1	2049	4
10	15	23	74	26	1	2053	0
10	16	26	10	29	1	2053	4
10	17	29	14	32	1	2057	1
10	18	33	6	36	3	2058	3
10	19	34	10	39	2	2061	1
10	20	35	10	41	1	2062	4
10	21	37	10	43	1	2066	4
10	22	37	138	43	1	2070	0
10	23	39	10	45	1	2070	0
10	24	39	138	45	1	2070	0
10	25	38	10	44	1	2070	4
10	26	42	10	49	2	2074	4
10	27	43	10	51	1	2078	4
11	0	3	11	2	1	2082	4
11	1	1	75	0	1	2086	0
11	2	4	11	3	1	2086	4
11	3	7	15	6	1	2090	1
11	4	11	7	10	3	2091	3
11	5	12	11	13	1	2094	1
11	6	13	11	14	1	2095	4
11	7	15	11	16	1	2099	4
11	8	15	139	16	1	2103	0
11	9	17	11	18	1	2103	0
11	10	17	139	18	1	2103	0
11	11	16	11	17	1	2103	4
11	12	20	11	22	2	2107	4
11	13	21	11	24	1	2111	4
11	14	25	11	28	1	2115	4
11	15	23	75	26	1	2119	0
11	16	26	11	29	1	2119	4
11	17	29	15	32	1	2123	1
11	18	33	7	36	3	2124	3
11	19	34	11	39	2	2127	1
11	20	35	11	41	1	2128	4
11	21	37	11	43	1	2132	4
11	22	37	139	43	1	2136	0
11	23	39	11	45	1	2136	0
11	24	39	139	45	1	2136	0
11	25	38	11	44	1	2136	4
11	26	42	11	49	2	2140	4
11	27	43	11	51	1	2144	4
12	0	3	12	2	1	2148	4
12	1	1	76	0	1	2152	0
12	2	4	12	3	1	2152	4
12	3	10	0	9	1	2156	1
12	4	11	0	10	3	2157	3
12	5	12	12	13	1	2160	1
12	6	13	12	14	1	2161	4
12	7	15	12	16	1	2165	4
12	8	15	140	16	1	2169	0
12	9	17	12	18	1	2169	0
12	10	17	140	18	1	2169	0
12	11	16	12	17	1	2169	4
12	12	20	12	22	2	2173	4
12	13	21	12	24	1	2177	4
12	14	25	12	28	1	2181	4
12	15	23	76	26	1	2185	0
12	16	26	12	29	1	2185	4
12	17	32	0	35	1	2189	1
12	18	33	0	36	3	2190	3
12	19	34	12	39	2	2193	1
12	20	35	12	41	1	2194	4
12	21	37	12	43	1	2198	4
12	22	37	140	43	1	2202	0
12	23	39	12	45	1	2202	0
12	24	39	140	45	1	2202	0
12	25	38	12	44	1	2202	4
12	26	42	12	49	2	2206	4
12	27	43	12	51	1	2210	4
13	0	3	13	2	1	2214	4
13	1	1	77	0	1	2218	0
13	2	4	13	3	1	2218	4
13	3	10	1	9	1	2222	1
13	4	11	1	10	3	2223	3
13	5	12	13	13	1	2226	1
13	6	13	13	14	1	2227	4
13	7	15	13	16	1	2231	4
13	8	15	141	16	1	2235	0
13	9	17	13	18	1	2235	0
13	10	17	141	18	1	2235	0
13	11	16	13	17	1	2235	4
13	12	20	13	22	2	2239	4
13	13	21	13	24	1	2243	4
13	14	25	13	28	1	2247	4
13	15	23	77	26	1	2251	0
13	16	26	13	29	1	2251	4
13	17	32	1	35	1	2255	1
13	18	33	1	36	3	2256	3
13	19	34	13	39	2	2259	1
13	20	35	13	41	1	2260	4
13	21	37	13	43	1	2264	4
13	22	37	141	43	1	2268	0
13	23	39	13	45	1	2268	0
13	24	39	141	45	1	2268	0
13	25	38	13	44	1	2268	4
13	26	42	13	49	2	2272	4
13	27	43	13	51	1	2276	4
14	0	3	14	2	1	2280	4
14	1	1	78	0	1	2284	0
14	2	4	14	3	1	2284	4
14	3	10	2	9	1	2288	1
14	4	11	2	10	3	2289	3
14	5	12	14	13	1	2292	1
14	6	13	14	14	1	2293	4
14	7	15	14	16	1	2297	4
14	8	15	142	16	1	2301	0
14	9	17	14	18	1	2301	0
14	10	17	142	18	1	2301	0
14	11	16	14	17	1	2301	4
14	12	20	14	22	2	2305	4
14	13	21	14	24	1	2309	4
14	14	25	14	28	1	2313	4
14	15	23	78	26	1	2317	0
14	16	26	14	29	1	2317	4
14	17	32	2	35	1	2321	1
14	18	33	2	36	3	2322	3
14	19	34	14	39	2	2325	1
14	20	35	14	41	1	2326	4
14	21	37	14	43	1	2330	4
14	22	37	142	43	1	2334	0
14	23	39	14	45	1	2334	0
14	24	39	142	45	1	2334	0
14	25	38	14	44	1	2334	4
14	26	42	14	49	2	2338	4
14	27	43	14	51	1	2342	4
15	0	3	15	2	1	2346	4
15	1	1	79	0	1	2350	0
15	2	4	15	3	1	2350	4
15	3	10	3	9	1	2354	1
15	4	11	3	10	3	2355	3
15	5	12	15	13	1	2358	1
15	6	13	15	14	1	2359	4
15	7	15	15	16	1	2363	4
15	8	15	143	16	1	2367	0
15	9	17	15	18	1	2367	0
15	10	17	143	18	1	2367	0
15	11	16	15	17	1	2367	4
15	12	20	15	22	2	2371	4
15	13	21	15	24	1	2375	4
15	14	25	15	28	1	2379	4
15	15	23	79	26	1	2383	0
15	16	26	15	29	1	2383	4
15	17	32	3	35	1	2387	1
15	18	33	3	36	3	2388	3
15	19	34	15	39	2	2391	1
15	20	35	15	41	1	2392	4
15	21	37	15	43	1	2396	4
15	22	37	143	43	1	2400	0
15	23	39	15	45	1	2400	0
15	24	39	143	45	1	2400	0
15	25	38	15	44	1	2400	4
15	26	42	15	49	2	2404	4
15	27	43	15	51	1	2408	4
16	0	3	16	2	1	2412	4
16	1	1	80	0	1	2416	0
16	2	2	0	1	1	2416	4
16	3	7	8	6	1	2420	1
16	4	12	16	13	1	2421	1
16	5	13	16	14	1	2422	4
16	6	15	16	16	1	2426	4
16	7	15	144	16	1	2430	0
16	8	17	16	18	1	2430	0
16	9	17	144	18	1	2430	0
16	10	16	16	17	1	2430	4
16	11	20	16	22	2	2434	4
16	12	21	16	24	1	2438	4
16	13	25	16	28	1	2442	4
16	14	23	80	26	1	2446	0
16	15	24	0	27	1	2446	4
16	16	29	8	32	1	2450	1
16	17	34	16	39	2	2451	1
16	18	35	16	41	1	2452	4
16	19	37	16	43	1	2456	4
16	20	37	144	43	1	2460	0
16	21	39	16	45	1	2460	0
16	22	39	144	45	1	2460	0
16	23	38	16	44	1	2460	4
16	24	42	16	49	2	2464	4
16	25	43	16	51	1	2468	4
17	0	3	17	2	1	2472	4
17	1	1	81	0	1	2476	0
17	2	2	1	1	1	2476	4
17	3	7	9	6	1	2480	1
17	4	12	17	13	1	2481	1
17	5	13	17	14	1	2482	4
17	6	15	17	16	1	2486	4
17	7	15	145	16	1	2490	0
17	8	17	17	18	1	2490	0
17	9	17	145	18	1	2490	0
17	10	16	17	17	1	2490	4
17	11	20	17	22	2	2494	4
17	12	21	17	24	1	2498	4
17	13	25	17	28	1	2502	4
17	14	23	81	26	1	2506	0
17	15	24	1	27	1	2506	4
17	16	29	9	32	1	2510	1
17	17	34	17	39	2	2511	1
17	18	35	17	41	1	2512	4
17	19	37	17	43	1	2516	4
17	20	37	145	43	1	2520	0
17	21	39	17	45	1	2520	0
17	22	39	145	45	1	2520	0
17	23	38	17	44	1	2520	4
17	24	42	17	49	2	2524	4
17	25	43	17	51	1	2528	4
18	0	3	18	2	1	2532	4
18	1	1	82	0	1	2536	0
18	2	2	2	1	1	2536	4
18	3	7	10	6	1	2540	1
18	4	12	18	13	1	2541	1
18	5	13	18	14	1	2542	4
18	6	15	18	16	1	2546	4
18	7	15	146	16	1	2550	0
18	8	17	18	18	1	2550	0
18	9	17	146	18	1	2550	0
18	10	16	18	17	1	2550	4
18	11	20	18	22	2	2554	4
18	12	21	18	24	1	2558	4
18	13	25	18	28	1	2562	4
18	14	23	82	26	1	2566	0
18	15	24	2	27	1	2566	4
18	16	29	10	32	1	2570	1
18	17	34	18	39	2	2571	1
18	18	35	18	41	1	2572	4
18	19	37	18	43	1	2576	4
18	20	37	146	43	1	2580	0
18	21	39	18	45	1	2580	0
18	22	39	146	45	1	2580	0
18	23	38	18	44	1	2580	4
18	24	42	18	49	2	2584	4
18	25	43	18	51	1	2588	4
19	0	3	19	2	1	2592	4
19	1	1	83	0	1	2596	0
19	2	2	3	1	1	2596	4
19	3	7	11	6	1	2600	1
19	4	12	19	13	1	2601	1
19	5	13	19	14	1	2602	4
19	6	15	19	16	1	2606	4
19	7	15	147	16	1	2610	0
19	8	17	19	18	1	2610	0
19	9	17	147	18	1	2610	0
19	10	16	19	17	1	2610	4
19	11	20	19	22	2	2614	4
19	12	21	19	24	1	2618	4
19	13	25	19	28	1	2622	4
19	14	23	83	26	1	2626	0
19	15	24	3	27	1	2626	4
19	16	29	11	32	1	2630	1
19	17	34	19	39	2	2631	1
19	18	35	19	41	1	2632	4
19	19	37	19	43	1	2636	4
19	20	37	147	43	1	2640	0
19	21	39	19	45	1	2640	0
19	22	39	147	45	1	2640	0
19	23	38	19	44	1	2640	4
19	24	42	19	49	2	2644	4
19	25	43	19	51	1	2648	4
20	0	3	20	2	1	2652	4
20	1	1	84	0	1	2656	0
20	2	2	4	1	1	2656	4
20	3	7	4	6	1	2660	1
20	4	12	20	13	1	2661	1
20	5	13	20	14	1	2662	4
