wait_index	producer	group
0	0	1
1	0	2
2	0	3
3	3	1
4	3	2
5	3	3
6	4	4294967295
7	7	12
8	9	4294967295
9	10	4294967295
10	11	4294967295
11	12	1
12	12	2
13	12	3
14	13	1
15	13	2
16	13	3
17	13	4
18	13	5
19	13	6
20	13	7
21	13	8
22	13	9
23	13	10
24	13	11
25	13	12
26	13	13
27	13	14
28	13	15
29	13	16
30	13	17
31	13	18
32	13	19
33	13	20
34	13	21
35	13	22
36	13	23
37	13	24
38	13	25
39	13	26
40	13	27
41	13	28
42	13	29
43	13	30
44	13	31
45	14	1
46	14	2
47	14	3
48	15	1
49	15	2
50	15	3
51	16	1
52	16	2
53	16	3
54	16	4
55	16	5
56	16	6
57	16	7
58	16	8
59	16	9
60	16	10
61	16	11
62	16	12
63	16	13
64	16	14
65	16	15
66	16	16
67	16	17
68	16	18
69	16	19
70	16	20
71	16	21
72	16	22
73	16	23
74	16	24
75	16	25
76	16	26
77	16	27
78	16	28
79	16	29
80	16	30
81	16	31
82	16	32
83	16	33
84	16	34
85	16	35
86	16	36
87	16	37
88	16	38
89	16	39
90	16	40
91	16	41
92	16	42
93	16	43
94	16	44
95	16	45
96	16	46
97	16	47
98	16	48
99	16	49
100	16	50
101	16	51
102	16	52
103	16	53
104	16	54
105	16	55
106	16	56
107	16	57
108	16	58
109	16	59
110	16	60
111	16	61
112	16	62
113	16	63
114	18	0
115	18	1
116	18	2
117	18	3
118	18	4
119	18	5
120	18	6
121	18	7
122	18	8
123	18	9
124	18	10
125	18	11
126	18	12
127	18	13
128	18	14
129	18	15
130	18	16
131	18	17
132	18	18
133	18	19
134	18	20
135	18	21
136	18	22
137	18	23
138	18	24
139	18	25
140	18	26
141	18	27
142	18	28
143	18	29
144	18	30
145	18	31
146	18	32
147	18	33
148	18	34
149	18	35
150	18	36
151	18	37
152	18	38
153	18	39
154	18	40
155	18	41
156	18	42
157	18	43
158	18	44
159	18	45
160	18	46
161	18	47
162	18	48
163	18	49
164	18	50
165	18	51
166	18	52
167	18	53
168	18	54
169	18	55
170	18	56
171	18	57
172	18	58
173	18	59
174	18	60
175	18	61
176	18	62
177	18	63
178	19	1
179	19	2
180	19	3
181	20	1
182	20	2
183	20	3
184	21	1
185	21	2
186	21	3
187	21	4
188	21	5
189	21	6
190	21	7
191	21	8
192	21	9
193	21	10
194	21	11
195	21	12
196	21	13
197	21	14
198	21	15
199	21	16
200	21	17
201	21	18
202	21	19
203	21	20
204	21	21
205	21	22
206	21	23
207	21	24
208	21	25
209	21	26
210	21	27
211	21	28
212	21	29
213	21	30
214	21	31
215	22	1
216	22	2
217	22	3
218	25	1
219	25	2
220	25	3
221	26	4294967295
222	29	12
223	31	4294967295
224	32	4294967295
225	33	4294967295
226	34	1
227	34	2
228	34	3
229	35	1
230	35	2
231	35	3
232	35	4
233	35	5
234	35	6
235	35	7
236	35	8
237	35	9
238	35	10
239	35	11
240	35	12
241	35	13
242	35	14
243	35	15
244	35	16
245	35	17
