stage	event_offset	event_flags
0	0	2
1	4	2
2	132	1
3	133	2
4	197	1
5	198	2
6	262	1
7	263	2
8	279	2
9	287	1
10	288	1
11	289	1
12	290	2
13	418	2
14	450	2
15	454	2
16	710	2
17	774	2
18	1030	2
19	1094	2
20	1098	2
21	1226	2
22	1258	2
23	1262	2
24	1390	1
25	1391	2
26	1455	1
27	1456	2
28	1520	1
29	1521	2
30	1537	2
31	1545	1
32	1546	1
33	1547	1
34	1548	2
35	1676	2
36	1708	2
37	1712	2
38	1968	2
39	2032	2
40	2288	2
41	2352	2
42	2356	2
43	2484	0
