model_phase	dtype	shape	token_id_bits
llama_decode	torch.int32	s1,1	32
llama_prefill	torch.int32	s1,64	32
qwen3_decode	torch.int32	s1,1	32
qwen3_prefill	torch.int32	s1,64	32
