dump	window	measured_ns	predicted_ns	error_ns	relative_error	evaluate_us
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_chain	1	523264	536636.375364	13372.3753638	0.025555695335	5724.063
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_rotate	1	461824	475151.199919	13327.1999195	0.0288577464997	4426.901
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_chain	1	299904	314092.699854	14188.6998542	0.0473108056385	68.095
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_rotate	1	293888	320092.259878	26204.2598782	0.0891641029173	58.592
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_chain	1	1204224	1150759.02985	-53464.970149	-0.044397861319	12664.395
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_rotate	1	956416	989793.849086	33377.8490856	0.0348988819568	12051.856
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_chain	1	596992	635331.308123	38339.3081231	0.0642208071852	122.466
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_rotate	1	578560	647330.428171	68770.428171	0.118864816391	106.152
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_chain	1	562720	586099.638942	23379.6389418	0.0415475528537	3370.845
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_rotate	1	448512	481295.199919	32783.1999195	0.0730932503912	3227.058
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s4_chain	1	288544	316140.699854	27596.6998542	0.0956412188582	60.532
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s4_rotate	1	288768	320092.259878	31324.2598782	0.108475523182	56.03
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s128_chain	1	1154048	1236775.02985	82727.029851	0.0716842192448	12233.017
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s128_rotate	1	914400	986721.849086	72321.8490856	0.0790921359204	12479.652
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s4_chain	1	567584	640451.308123	72867.3081231	0.128381540218	122.121
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s4_rotate	1	571392	650402.428171	79010.428171	0.138277099034	108.315
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_chain	2	529408	553265.699985	23857.6999847	0.0450648648768	3290.533
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_rotate	2	470016	495520.672763	25504.6727633	0.0542634139334	3236.396
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_chain	2	302080	325356.699854	23276.6998542	0.077054753225	60.673
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_rotate	2	294912	328284.259878	33372.2598782	0.113160060893	54.696
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s128_chain	2	1209344	1275576.50269	66232.5026949	0.0547672975555	12027.164
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s128_rotate	2	980992	1043623.74046	62631.7404611	0.0638453121545	12124.29
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s4_chain	2	600064	656835.308123	56771.3081231	0.0946087552712	123.349
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s4_rotate	2	594880	666786.428171	71906.428171	0.120875518039	110.199
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s128_chain	2	539648	537833.479997	-1814.52000333	-0.00336241402419	3382.313
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s128_rotate	2	473312	487328.672763	14016.6727633	0.0296140236532	3285.18
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s4_chain	2	309248	315116.699854	5868.69985422	0.0189773251702	60.416
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s4_rotate	2	293760	322140.259878	28380.2598782	0.0966103617857	54.373
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s128_chain	2	1239040	1246642.96249	7602.96249125	0.00613617194865	12002.66
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s128_rotate	2	1002496	1039527.74046	37031.7404611	0.0369395393708	12804.183
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s4_chain	2	609504	637379.308123	27875.3081231	0.0457344137579	123.642
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s4_rotate	2	586752	652450.428171	65698.428171	0.111969670612	106.444
docs/experiments/WINDOW/raw/final/trace_w1_gqa2_s128	1	592896	598933.146733	6037.14673349	0.0101824716873	3272.367
