chain	nodes	ns	worker
0	40	3727083.893	0
1	40	3727083.893	1
2	40	3727083.893	2
3	40	3727083.893	3
4	40	3727083.893	4
5	40	3727083.893	5
6	40	3727083.893	6
7	40	3727083.893	7
8	36	3726065.727	8
9	36	3726065.727	9
10	36	3726065.727	10
11	36	3726065.727	11
12	36	3726065.727	12
13	36	3726065.727	13
14	36	3726065.727	14
15	36	3726065.727	15
16	36	3726065.727	16
17	36	3726065.727	17
18	36	3726065.727	18
19	36	3726065.727	19
20	36	3726065.727	20
21	36	3726065.727	21
22	36	3726065.727	22
23	36	3726065.727	23
24	36	3726065.727	24
25	36	3726065.727	25
26	36	3726065.727	26
27	36	3726065.727	27
28	36	3726065.727	28
29	36	3726065.727	29
30	36	3726065.727	30
31	36	3726065.727	31
