chain	nodes	ns	worker
0	20	179816.8517	0
1	20	179816.8517	1
2	18	179348.9644	2
3	18	179348.9644	3
4	3	19242.73141	4
5	3	19242.73141	5
6	3	19242.73141	6
7	3	19242.73141	7
8	3	19239.52628	8
9	3	19239.52628	9
10	3	19239.52628	10
11	3	19239.52628	11
12	1	18303.76967	12
13	1	18303.76967	13
14	1	18303.76967	14
15	1	18303.76967	15
16	1	18303.76967	16
17	1	18303.76967	17
18	1	18303.76967	18
19	1	18303.76967	19
20	1	18303.76967	20
21	1	18303.76967	21
22	1	18303.76967	22
23	1	18303.76967	23
24	1	18303.76967	24
25	1	18303.76967	25
26	1	18303.76967	26
27	1	18303.76967	27
28	1	18303.76967	28
29	1	18303.76967	29
30	1	18303.76967	30
31	1	18303.76967	31
32	1	18303.76967	32
33	1	18303.76967	33
34	1	18303.76967	34
35	1	18303.76967	35
36	3	1172.905408	36
37	3	1172.905408	37
38	3	1172.905408	38
39	3	1172.905408	39
40	3	1172.905408	40
41	3	1172.905408	41
42	3	1172.905408	42
43	3	1172.905408	43
44	3	1172.905408	44
45	3	1172.905408	45
46	3	1172.905408	46
47	3	1172.905408	47
48	2	938.9617414	48
49	2	938.9617414	49
50	2	938.9617414	50
51	2	938.9617414	51
52	1	237.1487946	52
53	1	237.1487946	53
54	1	237.1487946	54
55	1	237.1487946	55
56	1	237.1487946	56
57	1	237.1487946	57
58	1	237.1487946	58
59	1	237.1487946	59
60	1	237.1487946	60
61	1	237.1487946	61
62	1	237.1487946	62
63	1	237.1487946	63
64	1	237.1487946	64
65	1	237.1487946	65
66	1	237.1487946	66
67	1	237.1487946	67
68	1	237.1487946	68
69	1	237.1487946	69
70	1	237.1487946	70
71	1	237.1487946	71
72	1	233.9436664	72
73	1	233.9436664	73
74	1	233.9436664	74
75	1	233.9436664	75
76	1	233.9436664	76
77	1	233.9436664	77
78	1	233.9436664	78
79	1	233.9436664	79
80	1	233.9436664	80
81	1	233.9436664	81
82	1	233.9436664	82
83	1	233.9436664	83
