chain	nodes	ns	worker
0	40	359633.7035	0
1	40	359633.7035	1
2	40	359633.7035	2
3	40	359633.7035	3
4	3	19242.73141	4
5	3	19242.73141	5
6	3	19242.73141	6
7	3	19242.73141	7
8	3	19242.73141	8
9	3	19242.73141	9
10	3	19242.73141	10
11	3	19242.73141	11
12	3	19242.73141	12
13	3	19242.73141	13
14	3	19242.73141	14
15	3	19242.73141	15
16	3	19242.73141	16
17	3	19242.73141	17
18	3	19242.73141	18
19	3	19242.73141	19
20	3	19239.52628	20
21	3	19239.52628	21
22	3	19239.52628	22
23	3	19239.52628	23
24	3	19239.52628	24
25	3	19239.52628	25
26	3	19239.52628	26
27	3	19239.52628	27
28	3	19239.52628	28
29	3	19239.52628	29
30	3	19239.52628	30
31	3	19239.52628	31
32	3	19239.52628	32
33	3	19239.52628	33
34	3	19239.52628	34
35	3	19239.52628	35
36	1	18303.76967	36
37	1	18303.76967	37
38	1	18303.76967	38
39	1	18303.76967	39
40	1	18303.76967	40
41	1	18303.76967	41
42	1	18303.76967	42
43	1	18303.76967	43
44	1	18303.76967	44
45	1	18303.76967	45
46	1	18303.76967	46
47	1	18303.76967	47
48	1	18303.76967	48
49	1	18303.76967	49
50	1	18303.76967	50
51	1	18303.76967	51
52	1	18303.76967	52
53	1	18303.76967	53
54	1	18303.76967	54
55	1	18303.76967	55
56	1	18303.76967	56
57	1	18303.76967	57
58	1	18303.76967	58
59	1	18303.76967	59
60	1	18303.76967	60
61	1	18303.76967	61
62	1	18303.76967	62
63	1	18303.76967	63
64	1	18303.76967	64
65	1	18303.76967	65
66	1	18303.76967	66
67	1	18303.76967	67
68	1	18303.76967	68
69	1	18303.76967	69
70	1	18303.76967	70
71	1	18303.76967	71
72	1	18303.76967	72
73	1	18303.76967	73
74	1	18303.76967	74
75	1	18303.76967	75
76	1	18303.76967	76
77	1	18303.76967	77
78	1	18303.76967	78
79	1	18303.76967	79
80	1	18303.76967	80
81	1	18303.76967	81
82	1	18303.76967	82
83	1	18303.76967	83
84	3	1172.905408	84
85	3	1172.905408	85
86	3	1172.905408	86
87	3	1172.905408	87
88	3	1172.905408	88
89	3	1172.905408	89
90	3	1172.905408	90
91	3	1172.905408	91
92	3	1172.905408	92
93	3	1172.905408	93
94	3	1172.905408	94
95	3	1172.905408	95
96	3	1172.905408	96
97	3	1172.905408	97
98	3	1172.905408	98
99	3	1172.905408	99
100	2	471.092461	100
101	2	471.092461	101
102	2	471.092461	102
103	2	471.092461	103
104	2	471.092461	104
105	2	471.092461	105
106	2	471.092461	106
107	2	471.092461	107
108	2	471.092461	108
109	2	471.092461	109
110	2	471.092461	110
111	2	471.092461	111
112	2	471.092461	112
113	2	471.092461	113
114	2	471.092461	114
115	2	471.092461	115
116	2	471.092461	116
117	2	471.092461	117
118	2	471.092461	118
119	2	471.092461	119
120	2	471.092461	120
121	2	471.092461	121
122	2	471.092461	122
123	2	471.092461	123
124	2	471.092461	124
125	2	471.092461	125
126	2	471.092461	126
127	2	471.092461	127
128	2	471.092461	128
129	2	471.092461	129
130	2	471.092461	130
131	2	471.092461	131
132	1	237.1487946	132
133	1	237.1487946	133
134	1	237.1487946	134
135	1	237.1487946	135
136	1	237.1487946	136
137	1	237.1487946	137
138	1	237.1487946	138
139	1	237.1487946	139
140	1	237.1487946	140
141	1	237.1487946	141
142	1	237.1487946	142
143	1	237.1487946	143
144	1	237.1487946	144
145	1	237.1487946	145
146	1	237.1487946	146
147	1	237.1487946	147
148	1	237.1487946	148
149	1	237.1487946	149
150	1	237.1487946	150
151	1	237.1487946	151
152	1	237.1487946	152
153	1	237.1487946	153
154	1	237.1487946	154
155	1	237.1487946	155
156	1	237.1487946	156
157	1	237.1487946	157
158	1	237.1487946	158
159	1	237.1487946	159
160	1	237.1487946	160
161	1	237.1487946	161
162	1	237.1487946	162
163	1	237.1487946	163
164	1	237.1487946	164
165	1	237.1487946	165
166	1	237.1487946	166
167	1	237.1487946	167
168	1	237.1487946	168
169	1	237.1487946	169
170	1	237.1487946	170
171	1	237.1487946	171
172	1	237.1487946	172
173	1	237.1487946	173
174	1	237.1487946	174
175	1	237.1487946	175
176	1	237.1487946	176
177	1	237.1487946	177
178	1	237.1487946	178
179	1	237.1487946	179
180	1	233.9436664	180
181	1	233.9436664	181
182	1	233.9436664	182
183	1	233.9436664	183
184	1	233.9436664	184
185	1	233.9436664	185
186	1	233.9436664	186
187	1	233.9436664	187
188	1	233.9436664	188
189	1	233.9436664	189
190	1	233.9436664	190
191	1	233.9436664	191
192	1	233.9436664	192
193	1	233.9436664	193
194	1	233.9436664	194
195	1	233.9436664	195
196	1	233.9436664	196
197	1	233.9436664	197
198	1	233.9436664	198
199	1	233.9436664	199
200	1	233.9436664	200
201	1	233.9436664	201
202	1	233.9436664	202
203	1	233.9436664	203
204	1	233.9436664	204
205	1	233.9436664	205
206	1	233.9436664	206
207	1	233.9436664	207
208	1	233.9436664	208
209	1	233.9436664	209
210	1	233.9436664	210
211	1	233.9436664	211
212	1	233.9436664	212
213	1	233.9436664	213
214	1	233.9436664	214
215	1	233.9436664	215
216	1	233.9436664	216
217	1	233.9436664	217
218	1	233.9436664	218
219	1	233.9436664	219
220	1	233.9436664	220
221	1	233.9436664	221
222	1	233.9436664	222
223	1	233.9436664	223
224	1	233.9436664	224
225	1	233.9436664	225
226	1	233.9436664	226
227	1	233.9436664	227
