chain	nodes	ns	worker
0	20	181406.5953	0
1	20	181406.5953	1
2	18	180938.708	2
3	18	180938.708	3
4	4	21622.23671	4
5	4	21622.23671	5
6	4	21622.23671	6
7	4	21622.23671	7
8	4	21619.03158	8
9	4	21619.03158	9
10	4	21619.03158	10
11	4	21619.03158	11
12	3	20308.24427	12
13	3	20308.24427	13
14	3	20308.24427	14
15	3	20308.24427	15
16	3	20308.24427	16
17	3	20308.24427	17
18	3	20308.24427	18
19	3	20308.24427	19
20	3	20308.24427	20
21	3	20308.24427	21
22	3	20308.24427	22
23	3	20308.24427	23
24	3	20308.24427	24
25	3	20308.24427	25
26	3	20308.24427	26
27	3	20308.24427	27
28	3	20308.24427	28
29	3	20308.24427	29
30	3	20308.24427	30
31	3	20308.24427	31
32	3	20308.24427	32
33	3	20308.24427	33
34	3	20308.24427	34
35	3	20308.24427	35
