step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	508	59	0	0	0	30235.10336	373070.0615	403305.1649	1	1234.610389	h
1	505	58	1	2	1	419.8411039	371415.61	371835.4511	1	1234.48139	h
2	488	56	0	0	0	18303.76967	351877.3589	370181.1286	1	1233.808977	h
3	485	55	1	2	1	1584.633492	349058.9165	350643.55	1	1234.610389	h
4	480	54	0	0	0	18303.76967	329520.5364	347824.3061	1	1238.611336	h
5	467	53	3	6	3	701.8129468	327584.1131	328285.926	1	1235.909677	h
6	403	49	135	14	135	237.1487946	325874.8044	326349.102	2	325874.8044	h
7	388	46	4	8	4	18303.76967	306339.5323	324643.302	1	306339.5323	h
8	384	45	0	0	0	1584.633492	303520.9235	305105.557	1	1234.610389	h
9	381	44	1	2	1	30235.10336	272051.2098	302286.3131	1	1234.610389	h
10	376	43	0	0	0	419.8411039	270396.7583	270816.5994	1	1234.48139	h
11	361	41	1	2	1	18303.76967	250858.5072	269162.2769	1	1233.808977	h
12	356	40	0	0	0	1584.633492	248040.0647	249624.6982	1	1234.610389	h
13	353	39	1	2	1	18303.76967	228501.6847	246805.4544	1	1234.48139	h
14	336	38	0	0	0	701.8129468	226565.3903	227267.2033	1	1233.77393	h
15	305	36	1	2	1	233.9436664	225097.6728	225331.6164	1	0	s
16	289	35	1	2	1	237.1487946	224860.524	225097.6728	1	1233.808977	h
17	264	32	0	0	0	18303.76967	205322.9453	223626.715	1	1233.975285	h
18	257	30	1	2	1	1584.633492	202504.3365	204088.97	1	1234.610389	h
19	252	29	0	0	0	30235.10336	171034.6228	201269.7261	1	1234.610389	h
20	249	28	1	2	1	419.8411039	169380.1713	169800.0124	1	1234.48139	h
21	232	26	0	0	0	18303.76967	149841.9202	168145.6899	1	1233.808977	h
22	229	25	1	2	1	1584.633492	147023.4778	148608.1112	1	1234.610389	h
23	224	24	0	0	0	18303.76967	127485.0977	145788.8674	1	1234.48139	h
24	210	23	2	4	2	701.8129468	125548.8034	126250.6163	1	1233.808977	h
25	176	21	0	0	0	233.9436664	124081.0507	124314.9944	1	0	s
26	160	20	0	0	0	237.1487946	123843.9019	124081.0507	1	1233.808977	h
27	137	17	1	2	1	18303.76967	104306.3233	122610.0929	1	1233.975285	h
28	128	15	0	0	0	1584.633492	101487.7145	103072.348	1	1234.610389	h
29	125	14	1	2	1	30235.10336	70018.00075	100253.1041	1	1234.610389	h
30	120	13	0	0	0	419.8411039	68363.54925	68783.39036	1	1234.48139	h
31	105	11	1	2	1	18303.76967	48825.29819	67129.06786	1	1233.808977	h
32	100	10	0	0	0	1584.633492	46006.85572	47591.48921	1	1234.610389	h
33	97	9	1	2	1	18303.76967	26468.47566	44772.24533	1	1234.48139	h
34	82	8	2	4	2	701.8129468	24532.18132	25233.99427	1	1233.808977	h
35	48	6	0	0	0	233.9436664	22830.48501	23298.37235	2	0	s
36	32	5	0	0	0	237.1487946	22356.18743	22830.48501	2	1233.808977	h
37	9	2	1	2	1	18303.76967	2818.608777	21122.37845	1	1233.975285	h
38	0	0	0	0	0	1584.633492	0	1584.633492	1	0	-
