step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	4412	29	0	0	0	30235.10336	199252.1986	229487.302	1	1654.322494	h
1	4300	28	163	70	-1	419.8411039	197597.8761	198017.7172	1	0	q
2	4400	28	163	70	-1	419.8411039	197178.035	197597.8761	1	23939.41744	h
3	4268	26	0	0	0	18303.76967	177641.6585	195945.4281	1	4403.040914	h
4	4156	25	151	46	-1	1584.633492	174823.251	176407.8845	1	0	q
5	4264	25	151	46	-1	1584.633492	171653.9841	174823.251	2	24001.37621	h
6	4136	24	0	0	0	18303.76967	152117.6075	170421.3772	1	1752.592479	h
7	3634	23	197	11	-1	1496.684749	149386.4414	150883.1261	1	0	s
8	2354	19	197	11	-1	237.1487946	149149.2926	149386.4414	1	0	q
9	3786	23	197	11	-1	1496.684749	146155.9231	149149.2926	2	0	s
10	2506	19	197	11	-1	237.1487946	145681.6255	146155.9231	2	0	q
11	3974	23	197	11	-1	1496.684749	142688.256	145681.6255	2	1454.156838	h
12	3114	21	103	79	-1	233.9436664	141000.1555	141468.0428	2	0	s
13	2858	20	103	79	-1	237.1487946	140525.8579	141000.1555	2	0	q
14	3334	21	103	79	-1	233.9436664	140057.9706	140525.8579	2	0	s
15	3078	20	103	79	-1	237.1487946	139583.673	140057.9706	2	0	q
16	3556	22	103	79	-1	233.9436664	139115.7857	139583.673	2	22354.819	h
17	2342	18	8	16	8	18303.76967	119579.8098	137883.5795	1	1234.209683	h
18	2208	15	0	0	0	1584.633492	115176.3332	118345.6002	2	1232.606859	h
19	2205	14	1	2	1	30235.10336	83708.62295	113943.7263	1	1234.610389	h
20	2076	13	0	0	0	419.8411039	81634.33036	82474.01257	2	1232.606859	h
21	2061	11	1	2	1	18303.76967	62097.95383	80401.7235	1	1233.808977	h
22	1932	10	0	0	0	1584.633492	57694.87787	60864.14485	2	1232.606859	h
23	1930	9	2	4	2	18303.76967	38158.50134	56462.27101	1	7655.480627	h
24	1417	8	1	2	1	1496.684749	35427.2062	36923.89095	1	10556.21181	h
25	137	4	102	77	-1	237.1487946	33970.6878	34207.83659	1	0	q
26	1641	8	102	77	-1	1496.684749	30977.3183	33970.6878	2	0	s
27	361	4	102	77	-1	237.1487946	30503.02071	30977.3183	2	0	q
28	1861	8	102	77	-1	1496.684749	27509.65121	30503.02071	2	1220.215297	h
29	906	6	103	79	-1	233.9436664	25821.54858	26289.43592	2	0	s
30	650	5	103	79	-1	237.1487946	25347.25099	25821.54858	2	0	q
31	1126	6	103	79	-1	233.9436664	24879.36366	25347.25099	2	0	s
32	870	5	103	79	-1	237.1487946	24405.06607	24879.36366	2	0	q
33	1348	7	103	79	-1	233.9436664	23937.17874	24405.06607	2	22352.54525	h
34	134	3	10	20	10	18303.76967	4403.476667	22707.24634	1	1234.209683	h
35	0	0	0	0	0	1584.633492	0	3169.266984	2	0	-
