chain	nodes	ns	worker
0	40	3718801.46	0
1	40	3718801.46	1
2	40	3718801.46	2
3	40	3718801.46	3
4	12	2659448.46	4
5	12	2659448.46	5
6	12	2659448.46	6
7	12	2659448.46	7
8	11	2659193.919	8
9	11	2659193.919	9
10	11	2659193.919	10
11	11	2659193.919	11
12	11	2659193.919	12
13	11	2659193.919	13
14	11	2659193.919	14
15	11	2659193.919	15
16	11	2659193.919	16
17	11	2659193.919	17
18	11	2659193.919	18
19	11	2659193.919	19
20	11	2659193.919	20
21	11	2659193.919	21
22	11	2659193.919	22
23	11	2659193.919	23
24	11	2659193.919	24
25	11	2659193.919	25
26	11	2659193.919	26
27	11	2659193.919	27
28	11	2659193.919	28
29	11	2659193.919	29
30	11	2659193.919	30
31	11	2659193.919	31
