model	variant	arm	seq	past	round	pass	l1_ms	l2_ms	l05_ms	reg	ctas_per_sm	grid	block	task_smem	occupancy_smem	static_smem	regs_per_sm	smem_per_sm	threads_per_sm	l1_reg	l05_reg	l1_ctas	l2_ctas	min_blocks	warp_size	l05_spill_stores	l05_spill_loads	l1_spill_stores	l1_spill_loads	l2_spill_stores	l2_spill_loads	f40_ctas	f40_binding	variant_stages	task_refs	waits	max_worker_task_refs	cold	warmup	repeat	execution_index
gqa2	base	full	1	3	0	1	0.398496	0.442272	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	0
gqa2	base	full	1	3	1	1	0.400320	0.441344	0.392992	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	1
gqa2	base	full	1	3	2	1	0.396288	0.440320	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	2
gqa2	base	full	1	3	3	1	0.399360	0.438272	0.392896	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	3
gqa2	base	full	1	3	4	1	0.399360	0.438272	0.392224	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	4
gqa2	base	full	1	3	5	1	0.399584	0.439296	0.393056	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	5
gqa2	base	full	1	3	6	1	0.399360	0.437248	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	6
gqa2	base	full	1	3	7	1	0.397504	0.440224	0.392992	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	7
gqa2	base	full	1	3	8	1	0.397312	0.441280	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	8
gqa2	base	full	1	3	9	1	0.398208	0.441344	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	9
gqa2	base	full	1	3	10	1	0.398336	0.442368	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	10
gqa2	base	full	1	3	11	1	0.400512	0.440064	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	11
gqa2	base	full	1	3	12	1	0.400384	0.440320	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	12
gqa2	base	full	1	3	13	1	0.398464	0.440320	0.391168	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	13
gqa2	base	full	1	3	14	1	0.399360	0.438400	0.391968	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	14
gqa2	base	full	1	3	15	1	0.398336	0.438272	0.392352	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	15
gqa2	base	full	1	3	16	1	0.398336	0.438272	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	16
gqa2	base	full	1	3	17	1	0.396288	0.440576	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	17
gqa2	base	full	1	3	18	1	0.394240	0.440320	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	18
gqa2	base	full	1	3	19	1	0.399584	0.438272	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	19
gqa2	base	full	1	3	20	1	0.398336	0.438272	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	20
gqa2	base	full	1	3	21	1	0.397312	0.439296	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	21
gqa2	base	full	1	3	22	1	0.400384	0.439296	0.392096	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	22
gqa2	base	full	1	3	23	1	0.397536	0.438272	0.391168	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	23
gqa2	base	full	1	3	24	1	0.396576	0.440416	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	24
gqa2	base	full	1	3	25	1	0.399296	0.440320	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	25
gqa2	base	full	1	3	26	1	0.396320	0.438272	0.392064	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	26
gqa2	base	full	1	3	27	1	0.398336	0.440032	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	27
gqa2	base	full	1	3	28	1	0.398336	0.440320	0.392320	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	28
gqa2	base	full	1	3	29	1	0.398336	0.440320	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	29
gqa2	base	full	1	3	30	1	0.398528	0.440128	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	30
gqa2	base	full	1	3	31	1	0.398560	0.440320	0.393024	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	31
gqa2	base	full	1	3	32	1	0.398528	0.440320	0.393024	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	32
gqa2	base	full	1	3	33	1	0.398336	0.440320	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	33
gqa2	base	full	1	3	34	1	0.398560	0.438272	0.392992	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	34
gqa2	base	full	1	3	35	1	0.398528	0.440224	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	35
gqa2	base	full	1	3	36	1	0.398464	0.437248	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	36
gqa2	base	full	1	3	37	1	0.399264	0.441120	0.392064	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	37
gqa2	base	full	1	3	38	1	0.396480	0.438272	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	38
gqa2	base	full	1	3	39	1	0.399552	0.439296	0.393248	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	39
gqa2	base	full	1	3	40	1	0.397984	0.441184	0.392160	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	40
gqa2	base	full	1	3	41	1	0.397312	0.437888	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	41
gqa2	base	full	1	3	42	1	0.399488	0.439296	0.393056	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	42
gqa2	base	full	1	3	43	1	0.397312	0.439136	0.393024	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	43
gqa2	base	full	1	3	44	1	0.398560	0.439296	0.393120	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	44
gqa2	base	full	1	3	45	1	0.398528	0.438272	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	45
gqa2	base	full	1	3	46	1	0.398464	0.437248	0.392928	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	46
gqa2	base	full	1	3	47	1	0.396416	0.439392	0.391168	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	47
gqa2	base	full	1	3	48	1	0.398560	0.441344	0.392192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	48
gqa2	base	full	1	3	49	1	0.399552	0.440096	0.393376	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	49
gqa2	base	full	4	3	0	1	0.399296	0.443392	0.395264	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	50
gqa2	base	full	4	3	1	1	0.400256	0.443040	0.395168	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	51
gqa2	base	full	4	3	2	1	0.400224	0.443392	0.395168	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	52
gqa2	base	full	4	3	3	1	0.399520	0.443232	0.395264	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	53
gqa2	base	full	4	3	4	1	0.398432	0.442656	0.395136	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	54
gqa2	base	full	4	3	5	1	0.401280	0.443392	0.395264	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	55
gqa2	base	full	4	3	6	1	0.399360	0.441344	0.394496	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	56
gqa2	base	full	4	3	7	1	0.399360	0.443392	0.395584	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	57
gqa2	base	full	4	3	8	1	0.399552	0.443392	0.395264	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	58
gqa2	base	full	4	3	9	1	0.400192	0.444384	0.395968	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	59
gqa2	base	full	4	3	10	1	0.399488	0.440320	0.395136	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	60
gqa2	base	full	4	3	11	1	0.398528	0.444416	0.396288	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	61
gqa2	base	full	4	3	12	1	0.399584	0.443360	0.394240	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	62
gqa2	base	full	4	3	13	1	0.400064	0.441344	0.395296	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	63
gqa2	base	full	4	3	14	1	0.400320	0.442688	0.394240	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	64
gqa2	base	full	4	3	15	1	0.400384	0.442368	0.394336	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	65
gqa2	base	full	4	3	16	1	0.400320	0.443360	0.395264	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	66
gqa2	base	full	4	3	17	1	0.399520	0.442688	0.396160	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	67
gqa2	base	full	4	3	18	1	0.400512	0.443360	0.395264	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	68
gqa2	base	full	4	3	19	1	0.398336	0.442368	0.396288	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	69
gqa2	base	full	4	3	20	1	0.399360	0.442368	0.395264	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	70
gqa2	base	full	4	3	21	1	0.398336	0.443168	0.396192	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	71
gqa2	base	full	4	3	22	1	0.398336	0.444224	0.395936	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	72
gqa2	base	full	4	3	23	1	0.400384	0.443296	0.396288	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	73
gqa2	base	full	4	3	24	1	0.400288	0.442368	0.395232	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	74
gqa2	base	full	4	3	25	1	0.399360	0.443392	0.395008	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	75
gqa2	base	full	4	3	26	1	0.399360	0.440320	0.394240	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	200	500	30	0	5	11	76
