model	variant	arm	seq	past	round	pass	l1_ms	l2_ms	l05_ms	reg	ctas_per_sm	grid	block	task_smem	occupancy_smem	static_smem	regs_per_sm	smem_per_sm	threads_per_sm	l1_reg	l05_reg	l1_ctas	l2_ctas	min_blocks	warp_size	l05_spill_stores	l05_spill_loads	l1_spill_stores	l1_spill_loads	l2_spill_stores	l2_spill_loads	f40_ctas	f40_binding	variant_stages	task_refs	waits	max_worker_task_refs	cold	warmup	repeat	execution_index
gqa2	base	full	1	3	0	1	0.361344	0.404512	0.359456	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	0
gqa2	base	nowait	1	3	0	0	0.361408	0.383712	0.359424	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	1
gqa2	base	neither	1	3	0	0	0.362464	0.319392	0.359424	210	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	2
gqa2	base	l1nosync	1	3	0	0	0.330752	0.404480	0.359424	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	3
gqa2	base	nowait	1	3	1	0	0.396480	0.416768	0.393056	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	4
gqa2	base	neither	1	3	1	0	0.396096	0.349184	0.391968	210	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	5
gqa2	base	l1nosync	1	3	1	0	0.359264	0.439232	0.393056	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	6
gqa2	base	full	1	3	1	1	0.396512	0.439968	0.393216	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	7
gqa2	base	neither	1	3	2	0	0.397120	0.351232	0.393152	210	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	8
gqa2	base	l1nosync	1	3	2	0	0.361184	0.438272	0.394016	212	2	256	128	24576	24576	0	65536	102400	1536	210	208	2	2	1	32	0	0	0	0	0	0	2	registers	30	98	119	30	0	5	11	9
