stage	event_offset	event_flags
0	0	2
1	128	1
2	129	1
3	130	1
4	131	2
5	643	2
6	899	1
7	900	1
8	901	2
9	1413	2
10	1417	2
11	1545	2
12	1553	2
13	1561	2
14	1689	2
15	1693	2
16	1821	1
17	1822	1
18	1823	1
19	1824	2
20	2336	2
21	2592	1
22	2593	1
23	2594	2
24	3106	2
25	3110	2
26	3238	2
27	3246	2
28	3254	2
29	3382	0
