tile_m	tile_n	tile_k	stages	split_k	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
16	32	16	2	1	0.525312	0.517120	0.519168	PASS	5245714bc5d3ab4d	6400	3	384
16	32	16	2	2	0.361504	0.354304	0.363264	PASS	784ee21438927111	6400	3	384
16	32	16	2	4	0.266016	0.233248	0.261120	PASS	84c6e7738cd9a7d7	6400	3	384
16	32	16	2	8	0.226112	0.206848	0.211968	PASS	b37a2e7f0ec44cb5	6400	3	384
16	32	16	2	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	16	3	1	0.510944	0.500736	0.508928	PASS	5245714bc5d3ab4d	9600	3	384
16	32	16	3	2	0.353280	0.349184	0.357376	PASS	784ee21438927111	9600	3	384
16	32	16	3	4	0.253952	0.242688	0.256000	PASS	84c6e7738cd9a7d7	9600	3	384
16	32	16	3	8	0.216960	0.208864	0.210944	PASS	b37a2e7f0ec44cb5	9600	3	384
16	32	16	3	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	16	4	1	0.511680	0.493312	0.512576	PASS	5245714bc5d3ab4d	12800	3	384
16	32	16	4	2	0.351808	0.330784	0.352032	PASS	784ee21438927111	12800	3	384
16	32	16	4	4	0.303104	0.249856	0.257024	PASS	84c6e7738cd9a7d7	12800	3	384
16	32	16	4	8	0.216064	0.211968	0.212992	PASS	b37a2e7f0ec44cb5	12800	3	384
16	32	16	4	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	16	5	1	0.518144	0.500736	0.515072	PASS	5245714bc5d3ab4d	16000	3	384
16	32	16	5	2	0.355104	0.351232	0.361216	PASS	784ee21438927111	16000	3	384
16	32	16	5	4	0.304128	0.252704	0.260864	PASS	84c6e7738cd9a7d7	16000	3	384
16	32	16	5	8	0.229376	0.216064	0.215040	PASS	b37a2e7f0ec44cb5	16000	3	384
16	32	16	5	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	32	2	1	0.501760	0.494592	0.498688	PASS	5245714bc5d3ab4d	12800	3	384
16	32	32	2	2	0.355328	0.350176	0.352000	PASS	784ee21438927111	12800	3	384
16	32	32	2	4	0.275648	0.229312	0.257248	PASS	84c6e7738cd9a7d7	12800	3	384
16	32	32	2	8	0.240704	0.209888	0.210944	PASS	b37a2e7f0ec44cb5	12800	3	384
16	32	32	2	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	32	3	1	0.507904	0.487424	0.495616	PASS	5245714bc5d3ab4d	19200	3	384
16	32	32	3	2	0.344928	0.344128	0.351232	PASS	784ee21438927111	19200	3	384
16	32	32	3	4	0.261120	0.238592	0.257024	PASS	84c6e7738cd9a7d7	19200	3	384
16	32	32	3	8	0.271360	0.214016	0.210944	PASS	b37a2e7f0ec44cb5	19200	3	384
16	32	32	3	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	32	4	1	0.513216	0.493568	0.499744	PASS	5245714bc5d3ab4d	25600	3	384
16	32	32	4	2	0.351232	0.347136	0.356352	PASS	784ee21438927111	25600	3	384
16	32	32	4	4	0.255968	0.246784	0.255872	PASS	84c6e7738cd9a7d7	25600	3	384
16	32	32	4	8	0.236544	0.215040	0.214080	PASS	b37a2e7f0ec44cb5	25600	3	384
16	32	32	4	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	32	5	1	0.515072	0.499584	0.505824	PASS	5245714bc5d3ab4d	32000	3	384
16	32	32	5	2	0.365504	0.345088	0.358304	PASS	784ee21438927111	32000	3	384
16	32	32	5	4	0.260096	0.249856	0.257024	PASS	84c6e7738cd9a7d7	32000	3	384
16	32	32	5	8	0.265216	0.216064	0.215840	PASS	b37a2e7f0ec44cb5	32000	3	384
16	32	32	5	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	64	16	2	1	0.765280	0.740800	0.760160	PASS	5245714bc5d3ab4d	10496	3	384
16	64	16	2	2	0.481216	0.477248	0.486272	PASS	784ee21438927111	10496	3	384
16	64	16	2	4	0.327808	0.306176	0.326656	PASS	84c6e7738cd9a7d7	10496	3	384
16	64	16	2	8	0.237568	0.237376	0.246784	PASS	b37a2e7f0ec44cb5	10496	3	384
16	64	16	2	16	0.238592	0.202752	0.205824	PASS	8a737188b958a2ae	10496	3	384
16	64	16	3	1	0.440320	0.422080	0.440320	PASS	5245714bc5d3ab4d	15744	2	256
16	64	16	3	2	0.327904	0.291840	0.325632	PASS	784ee21438927111	15744	2	256
16	64	16	3	4	0.252864	0.207872	0.237600	PASS	84c6e7738cd9a7d7	15744	2	256
16	64	16	3	8	0.212992	0.174080	0.198656	PASS	b37a2e7f0ec44cb5	15744	2	256
16	64	16	3	16	0.227136	0.154240	0.185344	PASS	8a737188b958a2ae	15744	2	256
16	64	16	4	1	0.413344	0.413728	0.441920	PASS	5245714bc5d3ab4d	20992	2	256
16	64	16	4	2	0.288768	0.271360	0.290816	PASS	784ee21438927111	20992	2	256
16	64	16	4	4	0.220160	0.195456	0.216064	PASS	84c6e7738cd9a7d7	20992	2	256
16	64	16	4	8	0.218112	0.173056	0.200928	PASS	b37a2e7f0ec44cb5	20992	2	256
16	64	16	4	16	0.214016	0.169184	0.188384	PASS	8a737188b958a2ae	20992	2	256
16	64	16	5	1	0.458752	0.425984	0.445760	PASS	5245714bc5d3ab4d	26240	2	256
16	64	16	5	2	0.318464	0.290816	0.317664	PASS	784ee21438927111	26240	2	256
16	64	16	5	4	0.276320	0.207872	0.236544	PASS	84c6e7738cd9a7d7	26240	2	256
16	64	16	5	8	0.237568	0.175328	0.200704	PASS	b37a2e7f0ec44cb5	26240	2	256
16	64	16	5	16	0.256000	0.167936	0.187936	PASS	8a737188b958a2ae	26240	2	256
16	64	32	2	1	0.447744	0.421472	0.450720	PASS	5245714bc5d3ab4d	20992	2	256
16	64	32	2	2	0.316224	0.286208	0.324480	PASS	784ee21438927111	20992	2	256
16	64	32	2	4	0.237568	0.210112	0.237504	PASS	84c6e7738cd9a7d7	20992	2	256
16	64	32	2	8	0.263200	0.176160	0.203776	PASS	b37a2e7f0ec44cb5	20992	2	256
16	64	32	2	16	0.282624	0.173056	0.192512	PASS	8a737188b958a2ae	20992	2	256
16	64	32	3	1	0.434176	0.423936	0.442144	PASS	5245714bc5d3ab4d	31488	2	256
16	64	32	3	2	0.319488	0.293760	0.323584	PASS	784ee21438927111	31488	2	256
16	64	32	3	4	0.244736	0.209824	0.236544	PASS	84c6e7738cd9a7d7	31488	2	256
16	64	32	3	8	0.267360	0.176000	0.200704	PASS	b37a2e7f0ec44cb5	31488	2	256
