tile_m	tile_n	tile_k	stages	split_k	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
16	32	16	2	1	0.922528	0.913408	0.950272	PASS	fd15fa2e89cdb915	6400	3	384
16	32	16	2	2	0.675584	0.702464	0.711424	PASS	74864481ea3a41e4	6400	3	384
16	32	16	2	4	0.476352	0.483072	0.516000	PASS	7b9a5e82df1403b7	6400	3	384
16	32	16	2	8	0.422912	0.412672	0.417792	PASS	118f8e253b29f694	6400	3	384
16	32	16	2	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	16	3	1	0.997376	0.995328	1.014784	PASS	fd15fa2e89cdb915	9600	3	384
16	32	16	3	2	0.676864	0.680960	0.696320	PASS	74864481ea3a41e4	9600	3	384
16	32	16	3	4	0.480256	0.475136	0.502784	PASS	7b9a5e82df1403b7	9600	3	384
16	32	16	3	8	0.437248	0.409600	0.412416	PASS	118f8e253b29f694	9600	3	384
16	32	16	3	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	16	4	1	1.002496	0.997376	1.017856	PASS	fd15fa2e89cdb915	12800	3	384
16	32	16	4	2	0.666624	0.688128	0.704512	PASS	74864481ea3a41e4	12800	3	384
16	32	16	4	4	0.471040	0.479104	0.503808	PASS	7b9a5e82df1403b7	12800	3	384
16	32	16	4	8	0.385024	0.413504	0.412672	PASS	118f8e253b29f694	12800	3	384
16	32	16	4	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	16	5	1	1.005568	0.997312	1.019904	PASS	fd15fa2e89cdb915	16000	3	384
16	32	16	5	2	0.671744	0.696288	0.705536	PASS	74864481ea3a41e4	16000	3	384
16	32	16	5	4	0.480256	0.489472	0.505856	PASS	7b9a5e82df1403b7	16000	3	384
16	32	16	5	8	0.405504	0.420864	0.415680	PASS	118f8e253b29f694	16000	3	384
16	32	16	5	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	32	2	1	0.974848	0.980992	0.990208	PASS	fd15fa2e89cdb915	12800	3	384
16	32	32	2	2	0.598016	0.601088	0.626688	PASS	74864481ea3a41e4	12800	3	384
16	32	32	2	4	0.465920	0.464896	0.499712	PASS	7b9a5e82df1403b7	12800	3	384
16	32	32	2	8	0.408576	0.342016	0.369504	PASS	118f8e253b29f694	12800	3	384
16	32	32	2	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	32	3	1	0.880640	0.872448	0.892000	PASS	fd15fa2e89cdb915	19200	3	384
16	32	32	3	2	0.660352	0.679936	0.684032	PASS	74864481ea3a41e4	19200	3	384
16	32	32	3	4	0.468992	0.463616	0.498688	PASS	7b9a5e82df1403b7	19200	3	384
16	32	32	3	8	0.390144	0.408544	0.411424	PASS	118f8e253b29f694	19200	3	384
16	32	32	3	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	32	4	1	0.958464	0.982016	0.989184	PASS	fd15fa2e89cdb915	25600	3	384
16	32	32	4	2	0.607232	0.596736	0.631648	PASS	74864481ea3a41e4	25600	3	384
16	32	32	4	4	0.447488	0.434496	0.459968	PASS	7b9a5e82df1403b7	25600	3	384
16	32	32	4	8	0.420864	0.342016	0.376832	PASS	118f8e253b29f694	25600	3	384
16	32	32	4	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	32	32	5	1	0.889536	0.875328	0.915456	PASS	fd15fa2e89cdb915	32000	3	384
16	32	32	5	2	0.661472	0.671776	0.700704	PASS	74864481ea3a41e4	32000	3	384
16	32	32	5	4	0.474112	0.494592	0.508896	PASS	7b9a5e82df1403b7	32000	3	384
16	32	32	5	8	0.390144	0.419840	0.412672	PASS	118f8e253b29f694	32000	3	384
16	32	32	5	16	nan	nan	nan	RUNFAIL	-	-	-	-
16	64	16	2	1	1.362944	1.346880	1.380352	PASS	fd15fa2e89cdb915	10496	3	384
16	64	16	2	2	0.839584	0.830336	0.873344	PASS	74864481ea3a41e4	10496	3	384
16	64	16	2	4	0.554848	0.539648	0.585696	PASS	7b9a5e82df1403b7	10496	3	384
16	64	16	2	8	0.413504	0.406336	0.437088	PASS	118f8e253b29f694	10496	3	384
16	64	16	2	16	0.380864	0.365568	0.387808	PASS	472fe4e8596656af	10496	3	384
16	64	16	3	1	0.849920	0.839680	0.872448	PASS	fd15fa2e89cdb915	15744	2	256
16	64	16	3	2	0.594944	0.568128	0.624640	PASS	74864481ea3a41e4	15744	2	256
16	64	16	3	4	0.431104	0.405504	0.462848	PASS	7b9a5e82df1403b7	15744	2	256
16	64	16	3	8	0.387072	0.310432	0.352256	PASS	118f8e253b29f694	15744	2	256
16	64	16	3	16	0.359424	0.303104	0.326656	PASS	472fe4e8596656af	15744	2	256
16	64	16	4	1	0.786432	0.774144	0.795648	PASS	fd15fa2e89cdb915	20992	2	256
16	64	16	4	2	0.573440	0.534688	0.571392	PASS	74864481ea3a41e4	20992	2	256
