model	seq	candidate	prepare_us	coarse_us	full_us	coarse_ns	full_ns	binding_cp_ns	semantic_cp_ns	queue_lb_ns	readiness_us	cached_us
gqa2	4	legacy_grid_stride	38.241	9.534	22.524	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	5.283	8.962
gqa2	4	rotate	38.241	5.285	18.592	344114.592952	421518.85283	344114.592952	344114.592952	61038.4362679	9.156	6.39
gqa2	4	balanced	38.241	9.706	18.596	687623.03762	859900.666384	687623.03762	344114.592952	392543.105409	5.746	7.882
gqa2	4	band	38.241	5.447	13.042	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	4.484	7.012
gqa2	4	wavefront	38.241	5.474	14.332	344114.592952	421518.85283	344114.592952	344114.592952	344037.669874	5.031	6.887
gqa2	128	legacy_grid_stride	3164.623	68.201	202.203	567453.889733	669681.948161	567453.889733	350473.567366	564223.120475	67.05	114.298
gqa2	128	rotate	3164.623	54.538	179.44	363321.147629	450989.049976	363321.147629	350473.567366	90438.3797309	64.651	109.626
gqa2	128	balanced	3164.623	58.734	189.736	576730.978041	1036642.04095	576730.978041	350473.567366	156615.410483	64.758	116.873
gqa2	128	band	3164.623	55.3	181.771	569094.915389	671322.973816	569094.915389	350473.567366	562582.09482	65.988	111.079
gqa2	128	wavefront	3164.623	52.861	176.165	363321.147629	450989.049976	363321.147629	350473.567366	360090.37837	65.058	108.575
gqa2	512	legacy_grid_stride	44641.177	377.85	746.027	773890.84963	974504.797782	773890.84963	370165.875228	761172.900802	229.445	507.652
gqa2	512	rotate	44641.177	360.064	731.106	569758.107525	755811.899597	569758.107525	370165.875228	299663.852187	264.543	500.637
gqa2	512	balanced	44641.177	254.362	735.546	1396674.32748	2264009.74493	1396674.32748	370165.875228	436718.012015	217.45	500.324
gqa2	512	band	44641.177	246.201	740.834	819737.003871	1026528.01103	819737.003871	370165.875228	717993.413251	210.507	525.799
gqa2	512	wavefront	44641.177	325.482	694	569758.107525	755811.899597	569758.107525	370165.875228	557450.415112	221.933	501.515
mha4	4	legacy_grid_stride	92.472	13.545	34.868	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	9.296	15.832
mha4	4	rotate	92.472	9.697	31.885	688229.185904	847111.614075	688229.185904	688229.185904	122076.872536	15.674	13.072
mha4	4	balanced	92.472	12.914	26.657	1366498.90795	1697006.75023	1366498.90795	688229.185904	612921.626319	8.383	14.479
mha4	4	band	92.472	8.488	24.233	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	8.137	14.198
mha4	4	wavefront	92.472	10.008	24.459	688229.185904	847111.614075	688229.185904	688229.185904	688075.339749	9.285	12.653
mha4	128	legacy_grid_stride	11772.342	175.851	491.775	1145358.87529	1376596.87347	1145358.87529	700947.134732	1138897.33677	151.45	341.851
mha4	128	rotate	11772.342	179.663	485.69	737093.39108	939211.077099	737093.39108	700947.134732	161361.295738	154.104	324.27
mha4	128	balanced	11772.342	152.894	478.414	2248301.63193	3859320.23628	2248301.63193	700947.134732	322065.88119	141.068	324.358
mha4	128	band	11772.342	143.686	462.666	1148640.9266	1379878.92478	1148640.9266	700947.134732	1135717.84957	146.226	317.558
mha4	128	wavefront	11772.342	141.663	453.078	737093.39108	939211.077099	737093.39108	700947.134732	730631.852563	153.482	334.298
mha4	512	legacy_grid_stride	178093.298	843.438	1555.545	1589586.08255	2086248.73532	1589586.08255	740331.750455	1564970.69772	481.639	1006.614
mha4	512	rotate	178093.298	671.932	1338.334	1181320.59834	1648862.93895	1181320.59834	740331.750455	647317.385938	486.475	861.145
mha4	512	balanced	178093.298	554.197	1346.022	6666403.47098	10078464.5212	6666403.47098	740331.750455	1818741.79726	376.173	916.897
mha4	512	band	178093.298	566.677	1408.692	1681278.39103	2191530.57361	1681278.39103	740331.750455	1484355.31241	409.065	1041.916
mha4	512	wavefront	178093.298	563.156	1249.925	1181320.59834	1648862.93895	1181320.59834	740331.750455	1156705.21351	382.743	862.579
real	4	legacy_grid_stride	554.486	36.279	95.846	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	29.003	54.109
real	4	rotate	554.486	26.495	77.262	7995594.84006	8154477.26824	7995594.84006	7995594.84006	2589677.25825	30.13	44.055
real	4	balanced	554.486	29.07	86.178	102295054.394	103686547.267	102295054.394	7995594.84006	17145734.4052	28.931	51.49
real	4	band	554.486	25.302	81.626	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	27.334	48.991
real	4	wavefront	554.486	25.268	74.034	7995594.84006	8154477.26824	7995594.84006	7995594.84006	7995193.82082	29.024	43.639
real	128	legacy_grid_stride	139360.244	1231.321	2028.897	12272063.6249	12806477.9991	12272063.6249	8028739.74807	12257092.2522	638.337	1160.035
real	128	rotate	139360.244	706.633	1561.134	8600097.0229	9105391.08491	8600097.0229	8028739.74807	3543047.54921	527.868	943.217
real	128	balanced	139360.244	623.143	1475.306	26106495.7047	29008178.745	26106495.7047	8028739.74807	9430676.31424	441.244	991.797
real	128	band	139360.244	660.369	1660.065	12400389.6768	12934804.051	12400389.6768	8028739.74807	12135182.5028	450.058	1174.503
real	128	wavefront	139360.244	654.739	1423.301	8600097.0229	9105391.08491	8600097.0229	8028739.74807	8585125.65018	463.418	950.17
