model	seq	k	index	candidate	simulated	predicted_ns	batch_us
gqa2	4	1	0	rotate	1	421518.85283	55.232
gqa2	4	1	1	wavefront	1	421518.85283	55.232
gqa2	4	1	2	legacy_grid_stride	0	551735.307169	55.232
gqa2	4	1	3	band	0	551735.307169	55.232
gqa2	4	1	4	balanced	0	687623.03762	55.232
gqa2	4	2	0	rotate	1	421518.85283	50.322
gqa2	4	2	1	wavefront	1	421518.85283	50.322
gqa2	4	2	2	legacy_grid_stride	0	551735.307169	50.322
gqa2	4	2	3	band	0	551735.307169	50.322
gqa2	4	2	4	balanced	0	687623.03762	50.322
gqa2	4	3	0	rotate	1	421518.85283	74.055
gqa2	4	3	1	wavefront	1	421518.85283	74.055
gqa2	4	3	2	legacy_grid_stride	1	644757.635947	74.055
gqa2	4	3	3	band	1	644757.635947	74.055
gqa2	4	3	4	balanced	0	687623.03762	74.055
gqa2	4	4	0	rotate	1	421518.85283	72.121
gqa2	4	4	1	wavefront	1	421518.85283	72.121
gqa2	4	4	2	legacy_grid_stride	1	644757.635947	72.121
gqa2	4	4	3	band	1	644757.635947	72.121
gqa2	4	4	4	balanced	0	687623.03762	72.121
gqa2	4	5	0	rotate	1	421518.85283	85.911
gqa2	4	5	1	wavefront	1	421518.85283	85.911
gqa2	4	5	2	legacy_grid_stride	1	644757.635947	85.911
gqa2	4	5	3	band	1	644757.635947	85.911
gqa2	4	5	4	balanced	1	859900.666384	85.911
gqa2	128	1	0	rotate	1	450989.049976	634.367
gqa2	128	1	1	wavefront	1	450989.049976	634.367
gqa2	128	1	2	legacy_grid_stride	0	567453.889733	634.367
gqa2	128	1	3	band	0	569094.915389	634.367
gqa2	128	1	4	balanced	0	576730.978041	634.367
gqa2	128	2	0	rotate	1	450989.049976	617.722
gqa2	128	2	1	wavefront	1	450989.049976	617.722
gqa2	128	2	2	legacy_grid_stride	0	567453.889733	617.722
gqa2	128	2	3	band	0	569094.915389	617.722
gqa2	128	2	4	balanced	0	576730.978041	617.722
gqa2	128	3	0	rotate	1	450989.049976	782.882
gqa2	128	3	1	wavefront	1	450989.049976	782.882
gqa2	128	3	2	legacy_grid_stride	1	669681.948161	782.882
gqa2	128	3	3	band	0	569094.915389	782.882
gqa2	128	3	4	balanced	0	576730.978041	782.882
gqa2	128	4	0	rotate	1	450989.049976	955.763
gqa2	128	4	1	wavefront	1	450989.049976	955.763
gqa2	128	4	2	legacy_grid_stride	1	669681.948161	955.763
gqa2	128	4	3	band	1	671322.973816	955.763
