cell	cohort	arm	stage	tile_m	tile_n	tile_k	stages	iterations	operand_elements	fixed_ns	loop_body_ns	loop_wait_ns	loop_fixed_ns	samples	dump	fixed_predicted_ns	loop_body_predicted_ns	loop_wait_predicted_ns	loop_fixed_predicted_ns	physical_writes	nominal_writes	physical_stage_bytes	occupancy	latency_ns	base_ns	old_loop_ns	observed_loop_ns	old_fixed_ns	new_loop_ns	new_fixed_ns
gqa2_s128	raw_kloop	selected	2	32	16	32	2	16.0	1536.0	2212.1358286207937	300.44281223216495	157.78877573024857	106.7485049298707	64	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	458.2315879624135	2083.0222333623688	485.97480190483515	2196.6624387692245
gqa2_s128	raw_kloop	selected	9	32	16	32	2	16.0	1536.0	3001.1290440192383	360.1284722598862	263.22832684464635	97.17540337948415	128	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	623.3567991045326	2083.0222333623688	485.97480190483515	2196.6624387692245
gqa2_s128	raw_kloop	selected	11	32	16	32	2	16.0	1536.0	2330.862379401911	336.30993088251887	169.42582123987546	148.83620597453591	256	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	505.73575212239433	2083.0222333623688	485.97480190483515	2196.6624387692245
gqa2_s128	raw_kloop	selected	14	32	16	32	2	32.0	1536.0	2515.8566534217116	280.8239142455129	167.23864207108323	97.59831399845802	128	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	448.06255631659616	2083.0222333623688	485.97480190483515	2196.6624387692245
gqa2_s128	raw_kloop	selected	17	32	16	32	2	16.0	1536.0	2152.4247397336876	279.42031195145194	158.95171627427783	100.65282391387791	64	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	438.37202822572976	2083.0222333623688	485.97480190483515	2196.6624387692245
gqa2_s128	raw_kloop	selected	24	32	16	32	2	16.0	1536.0	2607.786494945901	307.5211040739283	236.8723179968508	176.3001240423946	128	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	544.3934220707791	2083.0222333623688	485.97480190483515	2196.6624387692245
gqa2_s128	raw_kloop	selected	26	32	16	32	2	16.0	1536.0	2362.9036830527302	318.79387176214755	173.52652623700692	139.1764593689524	256	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	492.32039799915447	2083.0222333623688	485.97480190483515	2196.6624387692245
gqa2_s128	raw_kloop	selected	29	32	16	32	2	32.0	1536.0	2395.3261415653233	279.12911646789297	156.58232497484718	102.23706356784888	128	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	435.7114414427401	2083.0222333623688	485.97480190483515	2196.6624387692245
gqa2_s128	raw_kloop	selected	3	32	16	32	2	16.0	1536.0	2207.98700148452	326.22199952214316	156.66046399597087	116.40053316393372	64	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	482.88246351811404	2083.0222333623688	485.97480190483515	2196.6624387692245
gqa2_s128	raw_kloop	selected	16	32	16	32	2	16.0	1536.0	2182.6874524182417	272.88644633305944	161.51104738421617	99.31832826452771	128	/root/TileMega/docs/experiments/COSTMODEL/raw_kloop/gqa2_s128/phase/selected/dump	2083.0222333623688	211.27352645273243	98.551412617407	70.57440662893963	512	512	3072	5.0	107.3564485	384.6153879259701	483.16680054337706	434.3974937172756	2083.0222333623688	485.97480190483515	2196.6624387692245
