family	grid	begin	end	total	bijective	dense	acyclic	resident	level_exact	span_bound	status
legacy_grid_stride	256	1	1	1	1	1	1	1	1	34	PASS
legacy_grid_stride	256	2	32	1	1	1	1	1	1	34	PASS
legacy_grid_stride	256	33	64	1	1	1	1	1	1	29	PASS
legacy_grid_stride	256	65	96	1	1	1	1	1	1	37	PASS
legacy_grid_stride	256	97	128	1	1	1	1	1	1	28	PASS
rotate	256	1	1	1	1	1	1	1	1	3	PASS
rotate	256	2	32	1	1	1	1	1	1	4	PASS
rotate	256	33	64	1	1	1	1	1	1	7	PASS
rotate	256	65	96	1	1	1	1	1	1	10	PASS
rotate	256	97	128	1	1	1	1	1	1	13	PASS
band	256	1	1	1	1	1	1	1	1	34	PASS
band	256	2	32	1	1	1	1	1	1	34	PASS
band	256	33	64	1	1	1	1	1	1	28	PASS
band	256	65	96	1	1	1	1	1	1	39	PASS
band	256	97	128	1	1	1	1	1	1	30	PASS
wavefront	256	1	1	1	1	1	1	1	1	19	PASS
wavefront	256	2	32	1	1	1	1	1	1	19	PASS
wavefront	256	33	64	1	1	1	1	1	1	18	PASS
wavefront	256	65	96	1	1	1	1	1	1	26	PASS
wavefront	256	97	128	1	1	1	1	1	1	22	PASS
legacy_grid_stride	340	1	1	1	1	1	1	1	1	34	PASS
legacy_grid_stride	340	2	32	1	1	1	1	1	1	34	PASS
legacy_grid_stride	340	33	64	1	1	1	1	1	1	32	PASS
legacy_grid_stride	340	65	85	1	1	1	1	1	1	37	PASS
legacy_grid_stride	340	86	96	1	1	1	1	1	1	41	PASS
legacy_grid_stride	340	97	128	1	1	1	1	1	1	36	PASS
rotate	340	1	1	1	1	1	1	1	1	2	PASS
rotate	340	2	32	1	1	1	1	1	1	3	PASS
rotate	340	33	64	1	1	1	1	1	1	5	PASS
rotate	340	65	85	1	1	1	1	1	1	7	PASS
rotate	340	86	96	1	1	1	1	1	1	8	PASS
rotate	340	97	128	1	1	1	1	1	1	10	PASS
band	340	1	1	1	1	1	1	1	1	34	PASS
band	340	2	32	1	1	1	1	1	1	34	PASS
band	340	33	64	1	1	1	1	1	1	28	PASS
band	340	65	85	1	1	1	1	1	1	40	PASS
band	340	86	96	1	1	1	1	1	1	39	PASS
band	340	97	128	1	1	1	1	1	1	30	PASS
wavefront	340	1	1	1	1	1	1	1	1	22	PASS
wavefront	340	2	2	1	1	1	1	1	1	22	PASS
wavefront	340	3	3	1	1	1	1	1	1	22	PASS
wavefront	340	4	4	1	1	1	1	1	1	22	PASS
wavefront	340	5	5	1	1	1	1	1	1	22	PASS
wavefront	340	6	6	1	1	1	1	1	1	22	PASS
wavefront	340	7	7	1	1	1	1	1	1	22	PASS
wavefront	340	8	8	1	1	1	1	1	1	22	PASS
wavefront	340	9	9	1	1	1	1	1	1	22	PASS
wavefront	340	10	10	1	1	1	1	1	1	22	PASS
wavefront	340	11	11	1	1	1	1	1	1	22	PASS
wavefront	340	12	12	1	1	1	1	1	1	22	PASS
wavefront	340	13	13	1	1	1	1	1	1	22	PASS
wavefront	340	14	14	1	1	1	1	1	1	22	PASS
wavefront	340	15	15	1	1	1	1	1	1	22	PASS
wavefront	340	16	16	1	1	1	1	1	1	22	PASS
wavefront	340	17	17	1	1	1	1	1	1	22	PASS
wavefront	340	18	18	1	1	1	1	1	1	22	PASS
wavefront	340	19	19	1	1	1	1	1	1	22	PASS
wavefront	340	20	20	1	1	1	1	1	1	22	PASS
wavefront	340	21	21	1	1	1	1	1	1	22	PASS
wavefront	340	22	22	1	1	1	1	1	1	22	PASS
wavefront	340	23	23	1	1	1	1	1	1	22	PASS
wavefront	340	24	24	1	1	1	1	1	1	22	PASS
wavefront	340	25	25	1	1	1	1	1	1	22	PASS
wavefront	340	26	26	1	1	1	1	1	1	22	PASS
wavefront	340	27	27	1	1	1	1	1	1	22	PASS
wavefront	340	28	28	1	1	1	1	1	1	22	PASS
wavefront	340	29	29	1	1	1	1	1	1	22	PASS
wavefront	340	30	30	1	1	1	1	1	1	22	PASS
wavefront	340	31	31	1	1	1	1	1	1	22	PASS
wavefront	340	32	32	1	1	1	1	1	1	22	PASS
wavefront	340	33	33	1	1	1	1	1	1	21	PASS
wavefront	340	34	34	1	1	1	1	1	1	21	PASS
wavefront	340	35	35	1	1	1	1	1	1	21	PASS
wavefront	340	36	36	1	1	1	1	1	1	21	PASS
wavefront	340	37	37	1	1	1	1	1	1	21	PASS
wavefront	340	38	38	1	1	1	1	1	1	21	PASS
wavefront	340	39	39	1	1	1	1	1	1	21	PASS
wavefront	340	40	40	1	1	1	1	1	1	21	PASS
wavefront	340	41	41	1	1	1	1	1	1	21	PASS
wavefront	340	42	42	1	1	1	1	1	1	21	PASS
wavefront	340	43	43	1	1	1	1	1	1	21	PASS
wavefront	340	44	44	1	1	1	1	1	1	21	PASS
wavefront	340	45	45	1	1	1	1	1	1	21	PASS
wavefront	340	46	46	1	1	1	1	1	1	21	PASS
wavefront	340	47	47	1	1	1	1	1	1	21	PASS
wavefront	340	48	48	1	1	1	1	1	1	21	PASS
wavefront	340	49	49	1	1	1	1	1	1	21	PASS
wavefront	340	50	50	1	1	1	1	1	1	21	PASS
wavefront	340	51	51	1	1	1	1	1	1	21	PASS
wavefront	340	52	52	1	1	1	1	1	1	21	PASS
wavefront	340	53	53	1	1	1	1	1	1	21	PASS
wavefront	340	54	54	1	1	1	1	1	1	21	PASS
wavefront	340	55	55	1	1	1	1	1	1	21	PASS
wavefront	340	56	56	1	1	1	1	1	1	21	PASS
wavefront	340	57	57	1	1	1	1	1	1	21	PASS
wavefront	340	58	58	1	1	1	1	1	1	21	PASS
