family	grid	seq	nodes	identical	template	native
legacy_grid_stride	256	1	2594	1	legacy_grid_stride_g256_s1.template.tsv	legacy_grid_stride_g256_s1.native.tsv
legacy_grid_stride	256	32	3648	1	legacy_grid_stride_g256_s32.template.tsv	legacy_grid_stride_g256_s32.native.tsv
legacy_grid_stride	256	64	7296	1	legacy_grid_stride_g256_s64.template.tsv	legacy_grid_stride_g256_s64.native.tsv
legacy_grid_stride	256	96	10944	1	legacy_grid_stride_g256_s96.template.tsv	legacy_grid_stride_g256_s96.native.tsv
legacy_grid_stride	256	128	14592	1	legacy_grid_stride_g256_s128.template.tsv	legacy_grid_stride_g256_s128.native.tsv
rotate	256	1	2594	1	rotate_g256_s1.template.tsv	rotate_g256_s1.native.tsv
rotate	256	32	3648	1	rotate_g256_s32.template.tsv	rotate_g256_s32.native.tsv
rotate	256	64	7296	1	rotate_g256_s64.template.tsv	rotate_g256_s64.native.tsv
rotate	256	96	10944	1	rotate_g256_s96.template.tsv	rotate_g256_s96.native.tsv
rotate	256	128	14592	1	rotate_g256_s128.template.tsv	rotate_g256_s128.native.tsv
band	256	1	2594	1	band_g256_s1.template.tsv	band_g256_s1.native.tsv
band	256	32	3648	1	band_g256_s32.template.tsv	band_g256_s32.native.tsv
band	256	64	7296	1	band_g256_s64.template.tsv	band_g256_s64.native.tsv
band	256	96	10944	1	band_g256_s96.template.tsv	band_g256_s96.native.tsv
band	256	128	14592	1	band_g256_s128.template.tsv	band_g256_s128.native.tsv
wavefront	256	1	2594	1	wavefront_g256_s1.template.tsv	wavefront_g256_s1.native.tsv
wavefront	256	32	3648	1	wavefront_g256_s32.template.tsv	wavefront_g256_s32.native.tsv
wavefront	256	64	7296	1	wavefront_g256_s64.template.tsv	wavefront_g256_s64.native.tsv
wavefront	256	96	10944	1	wavefront_g256_s96.template.tsv	wavefront_g256_s96.native.tsv
wavefront	256	128	14592	1	wavefront_g256_s128.template.tsv	wavefront_g256_s128.native.tsv
legacy_grid_stride	340	1	2594	1	legacy_grid_stride_g340_s1.template.tsv	legacy_grid_stride_g340_s1.native.tsv
legacy_grid_stride	340	32	3648	1	legacy_grid_stride_g340_s32.template.tsv	legacy_grid_stride_g340_s32.native.tsv
legacy_grid_stride	340	64	7296	1	legacy_grid_stride_g340_s64.template.tsv	legacy_grid_stride_g340_s64.native.tsv
legacy_grid_stride	340	96	10944	1	legacy_grid_stride_g340_s96.template.tsv	legacy_grid_stride_g340_s96.native.tsv
legacy_grid_stride	340	128	14592	1	legacy_grid_stride_g340_s128.template.tsv	legacy_grid_stride_g340_s128.native.tsv
rotate	340	1	2594	1	rotate_g340_s1.template.tsv	rotate_g340_s1.native.tsv
rotate	340	32	3648	1	rotate_g340_s32.template.tsv	rotate_g340_s32.native.tsv
rotate	340	64	7296	1	rotate_g340_s64.template.tsv	rotate_g340_s64.native.tsv
rotate	340	96	10944	1	rotate_g340_s96.template.tsv	rotate_g340_s96.native.tsv
rotate	340	128	14592	1	rotate_g340_s128.template.tsv	rotate_g340_s128.native.tsv
band	340	1	2594	1	band_g340_s1.template.tsv	band_g340_s1.native.tsv
band	340	32	3648	1	band_g340_s32.template.tsv	band_g340_s32.native.tsv
band	340	64	7296	1	band_g340_s64.template.tsv	band_g340_s64.native.tsv
band	340	96	10944	1	band_g340_s96.template.tsv	band_g340_s96.native.tsv
band	340	128	14592	1	band_g340_s128.template.tsv	band_g340_s128.native.tsv
wavefront	340	1	2594	1	wavefront_g340_s1.template.tsv	wavefront_g340_s1.native.tsv
wavefront	340	32	3648	1	wavefront_g340_s32.template.tsv	wavefront_g340_s32.native.tsv
wavefront	340	64	7296	1	wavefront_g340_s64.template.tsv	wavefront_g340_s64.native.tsv
wavefront	340	96	10944	1	wavefront_g340_s96.template.tsv	wavefront_g340_s96.native.tsv
wavefront	340	128	14592	1	wavefront_g340_s128.template.tsv	wavefront_g340_s128.native.tsv
