1.289216	1.175365
1.288192	1.175564
1.288128	1.175711
1.288416	1.175940
1.289216	1.176464
1.289216	1.176636
1.289216	1.176636
1.289216	1.176636
1.288192	1.176663
1.293312	1.177108
1.288992	1.177360
1.289216	1.177530
1.290176	1.177649
1.274880	1.177862
1.289216	1.177908
1.274880	1.177932
1.273856	1.178030
1.287168	1.179036
1.273856	1.179147
1.294336	1.179242
1.293312	1.179272
1.292288	1.179439
1.292288	1.179439
1.276928	1.179580
1.294240	1.180118
1.274880	1.180130
1.294272	1.180181
1.293312	1.180305
1.293248	1.180315
1.292288	1.180335
1.294336	1.180343
1.293280	1.180345
1.293312	1.180374
1.293312	1.180374
1.293216	1.180424
1.293472	1.180520
1.293312	1.180684
1.295392	1.180996
1.294080	1.181075
1.294336	1.181101
1.294336	1.181101
1.294272	1.181147
1.293312	1.181271
1.294336	1.181308
1.293216	1.181390
1.296192	1.181725
1.294240	1.182118
1.295328	1.182214
1.294336	1.182413
1.298144	1.184784
