slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794700683894784	1126501962036	1789794700683895808	1126501963476	1789794700683895808	1126501963476	1789794700683896832	1126501966266	1789794700683897856	1126501968157	1789794700683897856	1126501968287	0	0	0	0	89	8
1	0	32	16	64	1	6144	1789794700683899904	1126501973073	1789794700683900928	1126501975296	1789794700683900928	1126501976353	1789794700683905024	1126501985752	1789794700683905024	1126501987046	1789794700683905024	1126501987178	1126501976439	1126501985658	1599	8	0	0
2	2	0	0	0	1	0	1789794700683907072	1126501992416	1789794700683908096	1126501993705	1789794700683908096	1126501993705	1789794700683908096	1126501995375	1789794700683908096	1126501995405	1789794700683909120	1126501995789	0	0	0	0	0	0
3	3	0	0	0	1	0	1789794700683910144	1126501998470	1789794700683910144	1126501999599	1789794700683910144	1126501999599	1789794700683910144	1126502000583	1789794700683910144	1126502000613	1789794700683911168	1126502000743	0	0	0	0	0	0
4	5	0	0	0	1	0	1789794700683913216	1126502006056	1789794700683913216	1126502007741	1789794700683913216	1126502007741	1789794700683916288	1126502016178	1789794700683917312	1126502016208	1789794700683917312	1126502016338	0	0	0	0	52	2
5	0	32	16	64	1	6144	1789794700683919360	1126502021677	1789794700683919360	1126502023851	1789794700683920384	1126502024950	1789794700683924480	1126502034286	1789794700683924480	1126502035898	1789794700683924480	1126502036028	1126502024976	1126502034192	1341	8	0	0
6	1	0	0	0	1	0	1789794700683926528	1126502041178	1789794700683927552	1126502042525	1789794700683927552	1126502042525	1789794700683928576	1126502045431	1789794700683929600	1126502047257	1789794700683929600	1126502047387	0	0	0	0	89	8
7	0	32	16	64	1	6144	1789794700683930624	1126502052066	1789794700683931648	1126502054246	1789794700683932672	1126502055352	1789794700683936768	1126502065213	1789794700683936768	1126502066637	1789794700683936768	1126502066937	1126502055378	1126502065119	2166	8	0	0
8	4	0	0	0	1	0	1789794700683938816	1126502072168	1789794700683939840	1126502073550	1789794700683939840	1126502073550	1789794700683941888	1126502079806	1789794700683941888	1126502079836	1789794700683941888	1126502079965	0	0	0	0	0	0
9	0	32	16	64	1	6144	1789794700683943936	1126502084955	1789794700683944960	1126502087121	1789794700683944960	1126502088238	1789794700683953152	1126502106413	1789794700683953152	1126502108521	1789794700683953152	1126502108651	1126502088264	1126502106319	3100	16	0	0
