model	placement	kernel	membar_sc_gpu	membar	bar_sync	binary_sha256
gqa2	0	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	2	2	8	c9a113fcce90dcbe13d7eaabde53d295e842f8d3afd4c6e29e58669e885b724c
gqa2	5	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	2	2	8	63317d4485676c54038108a7a1a4fee7aaa8d7b85038e3bb7921b68ef65debd1
mha4	0	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	2	2	8	a412a3d107b003aec89196c08a9cb275364e697990b1493668f2ead8fb8d963c
mha4	5	_ZN8tilemega7codegen18tilemega_l2_kernelEPKNS0_6ParamsEPNS0_12EventCounterEy	2	2	8	2ef84a561901ab1245f847a50632e12a5a591d7d103fa514ad9211c58f0df660
