stage	event_offset	event_flags
0	0	2
1	5	1
2	6	1
3	7	1
4	8	2
5	28	2
6	38	1
7	39	1
8	40	2
9	60	2
10	92	2
11	97	2
12	161	2
13	225	2
14	230	2
15	262	2
16	267	1
17	268	1
18	269	1
19	270	2
20	290	2
21	300	1
22	301	1
23	302	2
24	322	2
25	354	2
26	359	2
27	423	2
28	487	2
29	492	0
