key	placement	status	simulated	makespan_ns	floor_ns
32x128x16s2k8_k1_r2	eft	ok	1	1242361.58259	992802.418571
32x128x32s2k8_k1_r2	eft	ok	1	1242361.58259	992802.418571
32x128x64s2k8_k1_r2	eft	ok	1	1242361.58259	992802.418571
32x128x16s2k8_k2_r2	eft	ok	1	1248225.76299	992802.418571
32x128x32s2k8_k2_r2	eft	ok	1	1248225.76299	992802.418571
32x128x64s2k8_k2_r2	eft	ok	1	1248225.76299	992802.418571
32x128x16s2k8_k4_r2	eft	ok	1	1248225.76299	992802.418571
32x128x32s2k8_k4_r2	eft	ok	1	1248225.76299	992802.418571
32x128x64s2k8_k4_r2	eft	ok	1	1248225.76299	992802.418571
32x128x64s2k4_k1_r2	rotate	ok	1	1339489.82649	785632.751429
32x128x64s2k4_k1_r2	wavefront	ok	1	1339489.82649	1098960.30857
32x128x16s2k8_k1_r2	chain	ok	1	1346496.55318	729447.498571
32x128x32s2k8_k1_r2	chain	ok	1	1346496.55318	729447.498571
32x128x64s2k8_k1_r2	chain	ok	1	1346496.55318	729447.498571
32x128x16s2k8_k1_r2	rotate	ok	1	1350630.40168	727587.228571
32x128x32s2k8_k1_r2	rotate	ok	1	1350630.40168	727587.228571
32x128x64s2k8_k1_r2	rotate	ok	1	1350630.40168	727587.228571
32x128x16s2k8_k2_r2	rotate	ok	1	1350630.40168	727587.228571
32x128x32s2k8_k2_r2	rotate	ok	1	1350630.40168	727587.228571
32x128x64s2k8_k2_r2	rotate	ok	1	1350630.40168	727587.228571
32x128x16s2k8_k4_r2	rotate	ok	1	1350630.40168	727587.228571
32x128x32s2k8_k4_r2	rotate	ok	1	1350630.40168	727587.228571
32x128x64s2k8_k4_r2	rotate	ok	1	1350630.40168	727587.228571
32x128x16s2k8_k2_r2	chain	ok	1	1352497.53359	729447.498571
32x128x32s2k8_k2_r2	chain	ok	1	1352497.53359	729447.498571
32x128x64s2k8_k2_r2	chain	ok	1	1352497.53359	729447.498571
32x128x16s2k8_k4_r2	chain	ok	1	1352497.53359	729447.498571
32x128x32s2k8_k4_r2	chain	ok	1	1352497.53359	729447.498571
32x128x64s2k8_k4_r2	chain	ok	1	1352497.53359	729447.498571
