m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_cp_ns	register_seed	key
32	16	16	2	1	1	1	project	21149.46016969697	0.0	1943011.000001	248705408.0	652712.5	0	32x16x16s2k1_k1_r1
32	16	16	2	1	1	2	project	21149.46016969697	0.0	971505.500001	248705408.0	652712.5	0	32x16x16s2k1_k1_r2
32	16	16	2	1	2	1	project	21149.46016969697	0.0	1943011.000002	248705408.0	652712.5	0	32x16x16s2k1_k2_r1
32	16	16	2	1	2	2	project	21149.46016969697	0.0	971505.500002	248705408.0	652712.5	0	32x16x16s2k1_k2_r2
32	16	16	2	1	4	1	project	21149.46016969697	0.0	1943011.000004	248705408.0	652712.5	0	32x16x16s2k1_k4_r1
32	16	16	2	1	4	2	project	21149.46016969697	0.0	971505.500004	248705408.0	652712.5	0	32x16x16s2k1_k4_r2
32	128	16	2	8	1	1	project	21149.46016969697	0.0	1402965.5800009998	179579594.23999998	601878.6957142856	0	32x128x16s2k8_k1_r1
32	128	16	2	8	1	2	project	21149.46016969697	0.0	701482.7900009999	179579594.23999998	601878.6957142856	0	32x128x16s2k8_k1_r2
32	128	16	2	8	2	1	project	21149.46016969697	0.0	1402965.5800019999	179579594.23999998	601878.6957142856	0	32x128x16s2k8_k2_r1
32	128	16	2	8	2	2	project	21149.46016969697	0.0	701482.7900019999	179579594.23999998	601878.6957142856	0	32x128x16s2k8_k2_r2
32	128	16	2	8	4	1	project	21149.46016969697	0.0	1402965.5800039999	179579594.23999998	601878.6957142856	0	32x128x16s2k8_k4_r1
32	128	16	2	8	4	2	project	21149.46016969697	0.0	701482.790004	179579594.23999998	601878.6957142856	0	32x128x16s2k8_k4_r2
32	128	32	2	8	1	1	project	21149.46016969697	0.0	1402965.5800009998	179579594.23999998	601878.6957142856	0	32x128x32s2k8_k1_r1
32	128	32	2	8	1	2	project	21149.46016969697	0.0	701482.7900009999	179579594.23999998	601878.6957142856	0	32x128x32s2k8_k1_r2
32	128	32	2	8	2	1	project	21149.46016969697	0.0	1402965.5800019999	179579594.23999998	601878.6957142856	0	32x128x32s2k8_k2_r1
32	128	32	2	8	2	2	project	21149.46016969697	0.0	701482.7900019999	179579594.23999998	601878.6957142856	0	32x128x32s2k8_k2_r2
32	128	32	2	8	4	1	project	21149.46016969697	0.0	1402965.5800039999	179579594.23999998	601878.6957142856	0	32x128x32s2k8_k4_r1
32	128	32	2	8	4	2	project	21149.46016969697	0.0	701482.790004	179579594.23999998	601878.6957142856	0	32x128x32s2k8_k4_r2
32	128	64	2	8	1	1	project	21149.46016969697	0.0	1402965.5800009998	179579594.23999998	601878.6957142856	0	32x128x64s2k8_k1_r1
32	128	64	2	8	1	2	project	21149.46016969697	0.0	701482.7900009999	179579594.23999998	601878.6957142856	0	32x128x64s2k8_k1_r2
32	128	64	2	8	2	1	project	21149.46016969697	0.0	1402965.5800019999	179579594.23999998	601878.6957142856	0	32x128x64s2k8_k2_r1
32	128	64	2	8	2	2	project	21149.46016969697	0.0	701482.7900019999	179579594.23999998	601878.6957142856	0	32x128x64s2k8_k2_r2
32	128	64	2	8	4	1	project	21149.46016969697	0.0	1402965.5800039999	179579594.23999998	601878.6957142856	0	32x128x64s2k8_k4_r1
32	128	64	2	8	4	2	project	21149.46016969697	0.0	701482.790004	179579594.23999998	601878.6957142856	0	32x128x64s2k8_k4_r2
128	128	16	3	1	1	1	project	21149.46016969697	0.0	4521835.428572429	340705280.0	4521835.428571429	0	128x128x16s3k1_k1_r1
128	128	16	3	1	1	2	project	21149.46016969697	0.0	4521835.428572429	340705280.0	4521835.428571429	0	128x128x16s3k1_k1_r2
128	128	16	3	1	2	1	project	21149.46016969697	0.0	4521835.428573429	340705280.0	4521835.428571429	0	128x128x16s3k1_k2_r1
128	128	16	3	1	2	2	project	21149.46016969697	0.0	4521835.428573429	340705280.0	4521835.428571429	0	128x128x16s3k1_k2_r2
128	128	16	3	1	4	1	project	21149.46016969697	0.0	4521835.428575429	340705280.0	4521835.428571429	0	128x128x16s3k1_k4_r1
128	128	16	3	1	4	2	project	21149.46016969697	0.0	4521835.428575429	340705280.0	4521835.428571429	0	128x128x16s3k1_k4_r2
