worker	slot	stage	logical_task	dependency_begin	dependency_count	wait_begin	wait_count
0	0	0	0	0	0	0	0
0	1	2	0	1	1	0	1
0	2	5	0	4	1	1	1
0	3	6	0	5	1	2	0
0	4	8	4	7	3	2	3
0	5	9	0	10	1	5	7
0	6	10	0	11	1	12	31
0	7	11	0	12	1	43	1
0	8	13	0	14	2	44	127
0	9	14	0	16	2	171	1
0	10	15	0	18	1	172	31
0	11	17	0	20	1	203	1
0	12	20	0	23	1	204	1
0	13	21	0	24	1	205	0
0	14	23	4	26	3	205	3
0	15	24	0	29	2	208	7
0	16	25	0	31	1	215	31
0	17	26	0	32	1	246	1
0	18	28	0	34	2	247	127
0	19	29	0	36	2	374	1
1	0	0	1	0	0	375	0
1	1	2	1	1	1	375	1
1	2	5	1	4	1	376	1
1	3	6	1	5	1	377	0
1	4	8	5	7	3	377	3
1	5	9	1	10	1	380	7
1	6	10	1	11	1	387	31
1	7	11	1	12	1	418	1
1	8	13	1	14	2	419	127
1	9	14	1	16	2	546	1
1	10	15	1	18	1	547	31
1	11	17	1	20	1	578	1
1	12	20	1	23	1	579	1
1	13	21	1	24	1	580	0
1	14	23	5	26	3	580	3
1	15	24	1	29	2	583	7
1	16	25	1	31	1	590	31
1	17	26	1	32	1	621	1
1	18	28	1	34	2	622	127
1	19	29	1	36	2	749	1
2	0	2	2	1	1	750	2
2	1	5	2	4	1	752	1
2	2	6	2	5	1	753	0
2	3	8	6	7	3	753	3
2	4	9	2	10	1	756	7
2	5	11	2	12	1	763	2
2	6	14	2	16	2	765	2
2	7	17	2	20	1	767	2
2	8	20	2	23	1	769	1
2	9	21	2	24	1	770	0
2	10	23	6	26	3	770	3
2	11	24	2	29	2	773	7
2	12	26	2	32	1	780	2
2	13	29	2	36	2	782	2
3	0	2	3	1	1	784	2
3	1	5	3	4	1	786	1
3	2	6	3	5	1	787	0
3	3	8	7	7	3	787	3
3	4	9	3	10	1	790	7
3	5	11	3	12	1	797	2
3	6	14	3	16	2	799	2
3	7	17	3	20	1	801	2
3	8	20	3	23	1	803	1
3	9	21	3	24	1	804	0
3	10	23	7	26	3	804	3
3	11	24	3	29	2	807	7
3	12	26	3	32	1	814	2
3	13	29	3	36	2	816	2
4	0	2	4	1	1	818	2
4	1	4	4	3	1	820	1
4	2	8	0	7	3	821	3
4	3	9	4	10	1	824	7
4	4	11	4	12	1	831	2
4	5	14	4	16	2	833	2
4	6	17	4	20	1	835	2
4	7	19	4	22	1	837	1
4	8	23	0	26	3	838	3
4	9	24	4	29	2	841	7
4	10	26	4	32	1	848	2
4	11	29	4	36	2	850	2
5	0	2	5	1	1	852	2
5	1	4	5	3	1	854	1
5	2	8	1	7	3	855	3
5	3	9	5	10	1	858	7
5	4	11	5	12	1	865	2
5	5	14	5	16	2	867	2
5	6	17	5	20	1	869	2
5	7	19	5	22	1	871	1
5	8	23	1	26	3	872	3
5	9	24	5	29	2	875	7
5	10	26	5	32	1	882	2
5	11	29	5	36	2	884	2
6	0	2	6	1	1	886	2
6	1	4	6	3	1	888	1
6	2	8	2	7	3	889	3
6	3	9	6	10	1	892	7
6	4	11	6	12	1	899	2
6	5	14	6	16	2	901	2
6	6	17	6	20	1	903	2
6	7	19	6	22	1	905	1
6	8	23	2	26	3	906	3
6	9	24	6	29	2	909	7
6	10	26	6	32	1	916	2
6	11	29	6	36	2	918	2
7	0	2	7	1	1	920	2
7	1	4	7	3	1	922	1
7	2	8	3	7	3	923	3
7	3	9	7	10	1	926	7
7	4	11	7	12	1	933	2
7	5	14	7	16	2	935	2
7	6	17	7	20	1	937	2
7	7	19	7	22	1	939	1
7	8	23	3	26	3	940	3
7	9	24	7	29	2	943	7
7	10	26	7	32	1	950	2
7	11	29	7	36	2	952	2
8	0	2	8	1	1	954	2
8	1	7	0	6	1	956	1
8	2	9	8	10	1	957	8
8	3	11	8	12	1	965	2
8	4	14	8	16	2	967	2
8	5	17	8	20	1	969	2
8	6	22	0	25	1	971	1
8	7	24	8	29	2	972	8
8	8	26	8	32	1	980	2
8	9	29	8	36	2	982	2
9	0	2	9	1	1	984	2
9	1	7	1	6	1	986	1
9	2	9	9	10	1	987	8
9	3	11	9	12	1	995	2
9	4	14	9	16	2	997	2
9	5	17	9	20	1	999	2
9	6	22	1	25	1	1001	1
9	7	24	9	29	2	1002	8
9	8	26	9	32	1	1010	2
9	9	29	9	36	2	1012	2
10	0	2	10	1	1	1014	2
10	1	7	2	6	1	1016	1
10	2	9	10	10	1	1017	8
10	3	11	10	12	1	1025	2
10	4	14	10	16	2	1027	2
10	5	17	10	20	1	1029	2
10	6	22	2	25	1	1031	1
10	7	24	10	29	2	1032	8
10	8	26	10	32	1	1040	2
10	9	29	10	36	2	1042	2
11	0	2	11	1	1	1044	2
11	1	7	3	6	1	1046	1
11	2	9	11	10	1	1047	8
11	3	11	11	12	1	1055	2
11	4	14	11	16	2	1057	2
11	5	17	11	20	1	1059	2
11	6	22	3	25	1	1061	1
11	7	24	11	29	2	1062	8
11	8	26	11	32	1	1070	2
11	9	29	11	36	2	1072	2
12	0	2	12	1	1	1074	2
12	1	4	0	3	1	1076	1
12	2	9	12	10	1	1077	8
12	3	11	12	12	1	1085	2
12	4	14	12	16	2	1087	2
12	5	17	12	20	1	1089	2
12	6	19	0	22	1	1091	1
12	7	24	12	29	2	1092	8
12	8	26	12	32	1	1100	2
12	9	29	12	36	2	1102	2
13	0	2	13	1	1	1104	2
13	1	4	1	3	1	1106	1
13	2	9	13	10	1	1107	8
13	3	11	13	12	1	1115	2
13	4	14	13	16	2	1117	2
13	5	17	13	20	1	1119	2
13	6	19	1	22	1	1121	1
13	7	24	13	29	2	1122	8
