family	grid	begin	end	total	bijective	dense	acyclic	resident	level_exact	span_bound	status
wavefront	512	1	1	1	1	1	1	1	1	46	PASS
wavefront	512	2	2	1	1	1	1	1	1	46	PASS
wavefront	512	3	3	1	1	1	1	1	1	46	PASS
wavefront	512	4	4	1	1	1	1	1	1	46	PASS
wavefront	512	5	5	1	1	1	1	1	1	46	PASS
wavefront	512	6	6	1	1	1	1	1	1	46	PASS
wavefront	512	7	7	1	1	1	1	1	1	46	PASS
wavefront	512	8	8	1	1	1	1	1	1	46	PASS
wavefront	512	9	9	1	1	1	1	1	1	46	PASS
wavefront	512	10	10	1	1	1	1	1	1	46	PASS
wavefront	512	11	11	1	1	1	1	1	1	46	PASS
wavefront	512	12	12	1	1	1	1	1	1	46	PASS
wavefront	512	13	13	1	1	1	1	1	1	46	PASS
wavefront	512	14	14	1	1	1	1	1	1	46	PASS
wavefront	512	15	15	1	1	1	1	1	1	46	PASS
wavefront	512	16	16	1	1	1	1	1	1	46	PASS
