model	arm	l1_ms	l2_ms	pass
gqa2	ident	0.167936	0.184144	60/60
gqa2	ident2	0.167936	0.184320	60/60
gqa2	pair	0.196480	0.210832	60/60
gqa2	reverse	0.155888	0.181248	60/60
gqa2	scatter	0.169984	0.186080	60/60
mha4	ident	0.325712	0.356560	60/60
mha4	ident2	0.325632	0.356768	60/60
mha4	pair	0.385024	0.405968	60/60
mha4	reverse	0.303136	0.350208	60/60
mha4	scatter	0.323584	0.359424	60/60
