wait_index	producer	group
0	0	1
1	2	4294967295
2	4	4
3	6	4294967295
4	7	4294967295
5	8	0
6	8	1
7	8	2
8	8	3
9	8	5
10	8	6
11	8	7
12	9	1
13	9	2
14	9	3
15	9	4
16	9	5
17	9	6
18	9	7
19	9	8
20	9	9
21	9	10
22	9	11
23	9	12
24	9	13
25	9	14
26	9	15
27	9	16
28	9	17
29	9	18
30	9	19
31	9	20
32	9	21
33	9	22
34	9	23
35	9	24
36	9	25
37	9	26
38	9	27
39	9	28
40	9	29
41	9	30
42	9	31
43	10	1
44	11	1
45	11	2
46	11	3
47	11	4
48	11	5
49	11	6
50	11	7
51	11	8
52	11	9
53	11	10
54	11	11
55	11	12
56	11	13
57	11	14
58	11	15
59	11	16
60	11	17
61	11	18
62	11	19
63	11	20
64	11	21
65	11	22
66	11	23
67	11	24
68	11	25
69	11	26
70	11	27
71	11	28
72	11	29
73	11	30
74	11	31
75	11	32
76	11	33
77	11	34
78	11	35
79	11	36
80	11	37
81	11	38
82	11	39
83	11	40
84	11	41
85	11	42
86	11	43
87	11	44
88	11	45
89	11	46
90	11	47
91	11	48
92	11	49
93	11	50
94	11	51
95	11	52
96	11	53
97	11	54
98	11	55
99	11	56
100	11	57
101	11	58
102	11	59
103	11	60
104	11	61
105	11	62
106	11	63
107	12	0
108	12	1
109	12	2
110	12	3
111	12	4
112	12	5
113	12	6
114	12	7
115	12	8
116	12	9
117	12	10
118	12	11
119	12	12
120	12	13
121	12	14
122	12	15
123	12	16
124	12	17
125	12	18
126	12	19
127	12	20
128	12	21
129	12	22
130	12	23
131	12	24
132	12	25
133	12	26
134	12	27
135	12	28
136	12	29
137	12	30
138	12	31
139	12	32
140	12	33
141	12	34
142	12	35
143	12	36
144	12	37
145	12	38
146	12	39
147	12	40
148	12	41
149	12	42
150	12	43
151	12	44
152	12	45
153	12	46
154	12	47
155	12	48
156	12	49
157	12	50
158	12	51
159	12	52
160	12	53
161	12	54
162	12	55
163	12	56
164	12	57
165	12	58
166	12	59
167	12	60
168	12	61
169	12	62
170	12	63
171	13	1
172	14	1
173	14	2
174	14	3
175	14	4
176	14	5
177	14	6
178	14	7
179	14	8
180	14	9
181	14	10
182	14	11
183	14	12
184	14	13
185	14	14
186	14	15
187	14	16
188	14	17
189	14	18
190	14	19
191	14	20
192	14	21
193	14	22
194	14	23
195	14	24
196	14	25
197	14	26
198	14	27
199	14	28
200	14	29
201	14	30
202	14	31
203	15	1
204	17	4294967295
205	19	4
206	21	4294967295
207	22	4294967295
208	23	0
209	23	1
210	23	2
211	23	3
212	23	5
213	23	6
214	23	7
215	24	1
216	24	2
217	24	3
218	24	4
219	24	5
220	24	6
221	24	7
222	24	8
223	24	9
224	24	10
225	24	11
226	24	12
227	24	13
228	24	14
229	24	15
230	24	16
231	24	17
232	24	18
233	24	19
234	24	20
235	24	21
236	24	22
237	24	23
238	24	24
239	24	25
240	24	26
241	24	27
242	24	28
243	24	29
244	24	30
245	24	31
246	25	1
247	26	1
248	26	2
249	26	3
250	26	4
251	26	5
252	26	6
253	26	7
254	26	8
255	26	9
256	26	10
257	26	11
258	26	12
259	26	13
260	26	14
261	26	15
262	26	16
263	26	17
264	26	18
265	26	19
266	26	20
267	26	21
268	26	22
269	26	23
270	26	24
271	26	25
272	26	26
273	26	27
274	26	28
275	26	29
276	26	30
277	26	31
278	26	32
279	26	33
280	26	34
281	26	35
282	26	36
283	26	37
284	26	38
285	26	39
286	26	40
287	26	41
288	26	42
289	26	43
290	26	44
291	26	45
292	26	46
293	26	47
294	26	48
295	26	49
296	26	50
297	26	51
298	26	52
299	26	53
300	26	54
301	26	55
302	26	56
303	26	57
304	26	58
305	26	59
306	26	60
307	26	61
308	26	62
309	26	63
310	27	0
311	27	1
312	27	2
313	27	3
314	27	4
315	27	5
316	27	6
317	27	7
318	27	8
319	27	9
320	27	10
321	27	11
322	27	12
323	27	13
324	27	14
325	27	15
326	27	16
327	27	17
328	27	18
329	27	19
330	27	20
331	27	21
332	27	22
333	27	23
334	27	24
335	27	25
336	27	26
337	27	27
338	27	28
339	27	29
340	27	30
341	27	31
342	27	32
343	27	33
344	27	34
345	27	35
346	27	36
347	27	37
348	27	38
349	27	39
350	27	40
351	27	41
352	27	42
353	27	43
354	27	44
355	27	45
356	27	46
357	27	47
358	27	48
359	27	49
360	27	50
361	27	51
362	27	52
363	27	53
364	27	54
365	27	55
366	27	56
367	27	57
368	27	58
369	27	59
370	27	60
371	27	61
372	27	62
373	27	63
374	28	1
375	0	0
376	2	4294967295
377	4	5
378	6	4294967295
379	7	4294967295
380	8	0
381	8	1
382	8	2
