stage	event_offset	event_flags
0	0	2
1	2	1
2	3	1
3	4	1
4	5	2
5	13	2
6	17	1
7	18	1
8	19	2
9	27	2
10	59	2
11	61	2
12	125	2
13	189	2
14	191	2
15	223	2
16	225	1
17	226	1
18	227	1
19	228	2
20	236	2
21	240	1
22	241	1
23	242	2
24	250	2
25	282	2
26	284	2
27	348	2
28	412	2
29	414	0
