rank	key	flow_ns	residency	kappa	error
1	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k4;16x128x128s2k2;16x128x128s2k1;kappa=1;residency=1	11549563.430082714	1	1	
2	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k4;16x128x128s2k4;16x128x128s2k1;kappa=1;residency=1	11549996.221201247	1	1	
3	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k4;16x128x128s2k2;16x128x128s2k1;kappa=2;residency=1	11552563.210094713	1	2	
4	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k4;16x128x128s2k2;16x128x128s2k1;kappa=4;residency=1	11552563.210094713	1	4	
5	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k4;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	11562303.913614877	1	1	
6	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k4;16x128x128s2k1;16x128x128s2k1;kappa=1;residency=1	11571840.170611858	1	1	
7	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k8;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	11575432.118856085	1	1	
8	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k2;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	11580149.646037614	1	1	
9	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k16;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	11689075.127657851	1	1	
10	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	11916361.145261385	1	1	
11	16x128x128s2k1;16x128x128s2k2;16x128x128s2k1;16x128x128s2k1;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	11940446.495643221	1	1	
12	16x128x128s2k1;16x128x128s2k2;16x128x128s2k2;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	12054002.512181701	1	1	
13	16x128x128s2k1;16x128x128s2k2;16x128x128s2k4;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	12165580.502364943	1	1	
14	16x128x128s2k1;16x128x128s2k2;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	12388736.482731454	1	1	
15	16x128x128s2k1;16x128x128s2k4;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	12388765.335472688	1	1	
16	16x128x128s2k1;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	12389585.848300263	1	1	
17	16x128x128s2k1;16x128x128s2k1;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	12390221.598766729	1	1	
18	16x128x128s2k2;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	12433702.126988826	1	1	
19	16x128x128s2k4;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	12440266.229609428	1	1	
20	16x128x128s2k8;16x128x128s2k8;16x128x128s2k8;16x128x128s2k32;16x128x128s2k8;16x128x128s2k1;kappa=1;residency=1	12512551.141793979	1	1	
